ts,gabarit
2023-10-02 09:06:45,22
2023-10-02 09:20:29,17
2023-10-02 09:22:00,9
2023-10-02 09:22:32,9
2023-10-02 09:22:34,9
2023-10-02 09:22:36,9
2023-10-02 09:22:38,9
2023-10-02 09:22:40,9
2023-10-02 09:32:24,8
2023-10-02 09:33:45,24
2023-10-02 09:35:32,16
2023-10-02 09:36:18,16
2023-10-02 09:36:31,16
2023-10-02 09:39:48,15
2023-10-02 09:43:48,5
2023-10-02 09:43:50,5
2023-10-02 09:48:42,24
2023-10-02 09:50:53,17
2023-10-02 09:51:57,22
2023-10-02 09:52:25,22
2023-10-02 09:52:27,22
2023-10-02 09:52:29,22
2023-10-02 09:52:31,22
2023-10-02 09:52:33,22
2023-10-02 09:52:35,22
2023-10-02 09:52:37,22
2023-10-02 09:53:58,15
2023-10-02 09:55:55,7
2023-10-02 09:57:28,9
2023-10-02 10:02:50,24
2023-10-02 10:09:25,15
2023-10-02 10:09:27,15
2023-10-02 10:09:29,15
2023-10-02 10:09:31,15
2023-10-02 10:09:33,15
2023-10-02 10:11:48,19
2023-10-02 10:13:17,9
2023-10-02 10:13:19,9
2023-10-02 10:18:44,24
2023-10-02 10:20:48,1
2023-10-02 10:21:29,1
2023-10-02 10:24:07,15
2023-10-02 10:25:00,16
2023-10-02 10:25:48,16
2023-10-02 10:26:11,16
2023-10-02 10:52:33,5
2023-10-02 10:53:16,5
2023-10-02 10:53:23,5
2023-10-02 10:55:40,1
2023-10-02 10:55:42,1
2023-10-02 10:56:12,1
2023-10-02 10:56:14,1
2023-10-02 10:56:18,1
2023-10-02 10:59:25,15
2023-10-02 11:01:50,3
2023-10-02 11:02:11,3
2023-10-02 11:02:13,3
2023-10-02 11:02:37,3
2023-10-02 11:02:39,3
2023-10-02 11:02:41,3
2023-10-02 11:02:45,3
2023-10-02 11:26:28,5
2023-10-02 11:29:44,9
2023-10-02 11:29:50,9
2023-10-02 11:30:42,1
2023-10-02 11:47:21,5
2023-10-02 11:47:37,5
2023-10-02 11:47:39,5
2023-10-02 11:47:41,5
2023-10-02 11:47:46,5
2023-10-02 11:49:59,9
2023-10-02 11:53:46,1
2023-10-02 11:56:48,15
2023-10-02 11:56:50,15
2023-10-02 11:56:52,15
2023-10-02 11:56:54,15
2023-10-02 11:56:56,15
2023-10-02 11:56:58,15
2023-10-02 11:57:44,19
2023-10-02 11:57:46,19
2023-10-02 11:57:48,19
2023-10-02 11:57:50,19
2023-10-02 11:57:52,19
2023-10-02 11:57:54,19
2023-10-02 11:57:56,19
2023-10-02 12:04:27,5
2023-10-02 12:05:46,24
2023-10-02 12:05:50,24
2023-10-02 12:07:50,1
2023-10-02 12:08:14,1
2023-10-02 12:08:16,1
2023-10-02 12:08:18,1
2023-10-02 12:11:07,3
2023-10-02 12:11:11,3
2023-10-02 12:11:51,3
2023-10-02 12:11:53,3
2023-10-02 12:11:55,3
2023-10-02 12:12:00,3
2023-10-02 12:12:07,3
2023-10-02 12:12:15,15
2023-10-02 12:16:13,10
2023-10-02 12:16:16,10
2023-10-02 12:16:20,10
2023-10-02 12:16:44,10
2023-10-02 12:18:22,5
2023-10-02 12:24:53,24
2023-10-02 12:25:02,1
2023-10-02 12:28:16,3
2023-10-02 12:29:29,14
2023-10-02 12:30:21,19
2023-10-02 12:30:56,19
2023-10-02 12:30:58,19
2023-10-02 12:31:00,19
2023-10-02 12:31:02,19
2023-10-02 12:31:04,19
2023-10-02 12:31:06,19
2023-10-02 12:31:08,19
2023-10-02 12:31:10,19
2023-10-02 12:31:12,19
2023-10-02 12:31:19,19
2023-10-02 12:35:37,8
2023-10-02 12:35:49,8
2023-10-02 12:37:20,22
2023-10-02 12:37:22,22
2023-10-02 12:37:24,22
2023-10-02 12:37:26,22
2023-10-02 12:37:28,22
2023-10-02 12:37:30,22
2023-10-02 12:37:59,22
2023-10-02 12:38:01,22
2023-10-02 12:38:03,22
2023-10-02 12:38:22,22
2023-10-02 12:39:41,1
2023-10-02 12:40:12,1
2023-10-02 12:40:22,1
2023-10-02 12:43:36,3
2023-10-02 12:43:58,3
2023-10-02 12:44:09,3
2023-10-02 12:45:57,5
2023-10-02 12:48:11,15
2023-10-02 12:57:02,1
2023-10-02 14:03:44,3
2023-10-02 14:04:11,3
2023-10-02 14:04:25,3
2023-10-02 14:07:18,15
2023-10-02 14:07:20,15
2023-10-02 14:07:22,15
2023-10-02 14:07:24,15
2023-10-02 14:07:26,15
2023-10-02 14:11:52,21
2023-10-02 14:18:46,17
2023-10-02 14:21:57,3
2023-10-02 14:21:59,3
2023-10-02 14:22:01,3
2023-10-02 14:22:03,3
2023-10-02 14:22:05,3
2023-10-02 14:22:24,3
2023-10-02 14:22:27,3
2023-10-02 14:22:40,3
2023-10-02 14:22:42,3
2023-10-02 14:22:44,3
2023-10-02 14:22:46,3
2023-10-02 14:22:48,3
2023-10-02 14:23:32,22
2023-10-02 14:27:35,9
2023-10-02 14:28:01,9
2023-10-02 14:28:03,9
2023-10-02 14:28:05,9
