ts,gabarit
2023-09-26 16:01:28,14
2023-09-26 16:05:26,10
2023-09-26 16:08:02,1
2023-09-26 16:09:11,1
2023-09-26 16:09:56,24
2023-09-26 16:10:03,24
2023-09-26 16:10:06,24
2023-09-26 16:10:20,24
2023-09-26 16:11:32,18
2023-09-26 16:12:42,5
2023-09-26 16:14:10,20
2023-09-26 16:16:20,7
2023-09-26 16:16:45,7
2023-09-26 16:18:17,14
2023-09-26 16:21:02,10
2023-09-26 16:22:04,21
2023-09-26 16:24:25,24
2023-09-26 16:27:08,20
2023-09-26 16:28:39,13
2023-09-26 16:29:54,7
2023-09-26 16:31:07,22
2023-09-26 16:32:45,22
2023-09-26 16:32:58,22
2023-09-26 16:32:58,22
2023-09-26 16:33:00,22
2023-09-26 16:33:02,22
2023-09-26 16:33:07,22
2023-09-26 16:34:09,22
2023-09-26 16:34:22,22
2023-09-26 16:34:22,22
2023-09-26 16:47:19,22
2023-09-26 16:47:41,9
2023-09-26 16:49:57,9
2023-09-26 16:51:12,10
2023-09-26 16:56:51,24
2023-09-26 16:57:47,20
2023-09-26 16:58:32,18
2023-09-26 16:59:41,13
2023-09-26 17:01:19,7
2023-09-26 17:02:36,5
2023-09-26 17:05:32,17
2023-09-26 17:08:08,6
2023-09-26 17:11:59,20
2023-09-26 17:12:13,20
2023-09-26 17:13:25,3
2023-09-26 17:16:20,22
2023-09-26 17:18:49,19
2023-09-26 17:20:04,10
2023-09-26 17:24:33,21
2023-09-26 17:25:24,4
2023-09-26 17:26:39,18
2023-09-26 17:31:40,1
2023-09-26 17:37:11,14
2023-09-26 17:39:38,21
2023-09-26 17:41:21,23
2023-09-26 17:41:42,18
2023-09-26 17:41:42,18
2023-09-26 17:41:42,18
2023-09-26 17:41:51,18
2023-09-26 17:41:59,18
2023-09-26 17:42:46,18
2023-09-26 17:45:51,20
2023-09-26 17:46:51,22
2023-09-26 17:48:16,19
2023-09-26 17:50:51,16
2023-09-26 17:50:54,16
2023-09-26 17:50:56,16
2023-09-26 17:50:57,16
2023-09-26 17:51:05,16
2023-09-26 17:51:06,16
2023-09-26 17:51:16,16
2023-09-26 17:52:48,12
2023-09-26 17:54:09,21
2023-09-26 17:55:45,23
2023-09-26 17:57:32,4
2023-09-26 17:57:32,11
2023-09-26 17:57:35,11
