ts,task,empid,sec
2023-07-26 10:28:12,3,,7.0
2023-07-26 10:28:30,3,,17.0
2023-07-26 10:28:49,3,,18.0
2023-07-26 10:29:28,3,,39.0
2023-07-26 10:29:35,0,,
2023-07-26 10:32:03,0,,36.0
2023-07-26 10:46:20,1,13.0,3.0
2023-07-26 10:52:10,7,13.0,120.0
2023-07-26 10:52:17,1,13.0,6.0
2023-07-26 10:54:07,1,12.0,5.0
2023-07-26 10:54:10,1,12.0,4.0
2023-07-26 10:59:59,1,12.0,4.0
2023-07-26 11:00:03,1,12.0,3.0
2023-07-26 11:01:48,1,12.0,104.0
2023-07-26 11:01:56,7,,
2023-07-26 11:02:00,7,12.0,8.0
2023-07-26 11:02:04,2,12.0,3.0
2023-07-26 11:02:09,2,12.0,5.0
2023-07-26 11:03:09,2,12.0,60.0
2023-07-26 11:03:14,7,,
2023-07-26 11:04:25,7,12.0,134.0
2023-07-26 11:04:31,7,,
2023-07-26 11:23:10,4,13.0,77.0
2023-07-26 11:23:13,4,13.0,3.0
2023-07-26 11:24:49,4,13.0,93.0
2023-07-26 11:27:05,4,13.0,132.0
2023-07-26 11:27:08,4,13.0,3.0
2023-07-26 11:27:13,6,,
2023-07-26 11:28:13,7,13.0,104.0
2023-07-26 11:30:13,3,12.0,5.0
2023-07-26 11:30:17,3,12.0,4.0
2023-07-26 11:30:28,3,12.0,10.0
2023-07-26 11:30:40,3,12.0,12.0
2023-07-26 11:30:43,6,,
2023-07-26 11:40:30,3,14.0,29.0
2023-07-26 11:45:16,0,12.0,187.0
2023-07-26 11:45:22,1,12.0,5.0
2023-07-26 11:45:28,1,12.0,5.0
2023-07-26 11:45:32,1,12.0,4.0
2023-07-26 11:46:10,1,12.0,35.0
2023-07-26 11:46:17,0,,
2023-07-26 11:46:29,0,12.0,22.0
2023-07-26 11:46:32,4,12.0,3.0
2023-07-26 11:47:46,4,12.0,68.0
2023-07-26 11:47:59,4,12.0,12.0
2023-07-26 11:52:10,0,12.0,22.0
2023-07-26 11:52:20,3,12.0,9.0
2023-07-26 11:57:15,3,12.0,273.0
2023-07-26 11:59:40,3,12.0,134.0
2023-07-26 12:00:43,3,12.0,58.0
2023-07-26 12:06:18,3,12.0,308.0
2023-07-26 12:06:24,0,,
2023-07-26 12:07:31,0,12.0,126.0
2023-07-26 12:10:14,4,12.0,150.0
2023-07-26 12:11:00,4,12.0,43.0
2023-07-26 12:12:50,4,12.0,101.0
2023-07-26 12:14:15,0,13.0,64.0
2023-07-26 12:16:46,1,13.0,146.0
2023-07-26 12:21:58,0,13.0,18.0
2023-07-26 12:23:48,4,13.0,106.0
2023-07-26 12:23:50,0,,
2023-07-26 12:27:36,3,13.0,47.0
2023-07-26 12:27:39,3,13.0,3.0
2023-07-26 12:27:44,3,13.0,4.0
2023-07-26 12:27:46,0,,
2023-07-26 12:27:51,0,13.0,9.0
2023-07-26 12:27:55,4,13.0,4.0
2023-07-26 12:28:52,4,13.0,55.0
2023-07-26 12:35:06,0,13.0,49.0
2023-07-26 12:35:16,4,13.0,9.0
2023-07-26 12:37:30,0,0.0,64.0
2023-07-26 12:37:33,5,0.0,2.0
2023-07-26 12:37:41,5,0.0,8.0
2023-07-26 12:37:49,0,,
2023-07-26 12:37:57,0,0.0,15.0
2023-07-26 12:38:00,6,0.0,2.0
2023-07-26 12:41:10,0,9.0,30.0
2023-07-26 12:41:15,4,9.0,5.0
2023-07-26 12:41:17,0,,
2023-07-26 12:41:20,0,9.0,7.0
2023-07-26 12:41:24,1,9.0,2.0
2023-07-26 12:41:27,1,9.0,4.0
2023-07-26 12:41:30,0,,
2023-07-26 12:41:45,0,14.0,27.0
2023-07-26 12:41:49,3,14.0,3.0
2023-07-26 12:41:53,3,14.0,4.0
2023-07-26 12:45:44,0,14.0,16.0
2023-07-26 12:45:52,3,14.0,8.0
2023-07-26 12:45:58,3,14.0,5.0
2023-07-26 12:48:18,3,14.0,135.0
2023-07-26 12:50:22,0,14.0,14.0
2023-07-26 12:50:26,3,14.0,4.0
2023-07-26 12:51:29,3,14.0,61.0
2023-07-26 12:57:29,0,14.0,27.0
2023-07-26 12:57:45,2,14.0,16.0
2023-07-26 12:57:52,2,14.0,6.0
2023-07-26 12:57:55,2,14.0,3.0
2023-07-26 12:58:02,2,14.0,7.0
2023-07-26 12:58:08,2,14.0,6.0
2023-07-26 12:58:11,2,14.0,3.0
2023-07-26 12:58:13,0,,
2023-07-26 12:58:24,0,14.0,17.0
2023-07-26 12:58:30,1,14.0,5.0
2023-07-26 12:58:36,1,14.0,6.0
2023-07-26 12:59:16,1,14.0,35.0
2023-07-26 12:59:16,0,,
2023-07-26 12:59:17,0,14.0,7.0
2023-07-26 12:59:24,3,14.0,6.0
2023-07-26 12:59:49,3,14.0,25.0
2023-07-26 13:00:16,3,14.0,26.0
2023-07-26 13:01:01,3,14.0,43.0
2023-07-26 13:01:18,3,14.0,17.0
2023-07-26 13:02:40,3,14.0,80.0
2023-07-26 13:03:20,3,14.0,39.0
2023-07-26 13:03:20,0,,
2023-07-26 13:55:12,0,0.0,44.0
2023-07-26 13:55:12,2,0.0,1.0
2023-07-26 15:06:35,0,14.0,64.0
2023-07-26 15:06:43,2,14.0,8.0
2023-07-26 15:06:55,2,14.0,11.0
2023-07-26 15:07:13,2,14.0,18.0
2023-07-26 15:07:22,0,,
2023-07-26 15:09:17,0,14.0,97.0
2023-07-26 15:09:32,0,,
2023-07-26 15:09:35,0,14.0,5.0
2023-07-26 15:11:55,2,14.0,135.0
2023-07-26 15:12:08,2,14.0,11.0
2023-07-26 15:12:08,0,,
2023-07-26 15:13:13,1,13.0,2.0
2023-07-26 15:13:16,0,,
2023-07-26 15:13:43,0,13.0,50.0
2023-07-26 15:13:46,1,13.0,2.0
2023-07-26 15:13:47,0,,
2023-07-26 15:13:57,0,13.0,15.0
2023-07-26 15:14:08,1,13.0,10.0
2023-07-26 15:14:13,0,,
2023-07-26 15:21:41,0,13.0,398.0
2023-07-26 15:21:44,3,13.0,2.0
2023-07-26 15:21:50,3,13.0,6.0
2023-07-26 15:21:59,3,13.0,8.0
2023-07-26 15:22:49,3,13.0,48.0
2023-07-26 15:24:07,3,13.0,74.0
2023-07-26 15:28:30,3,13.0,249.0
2023-07-26 15:28:38,3,13.0,8.0
2023-07-26 15:28:40,0,,
2023-07-26 15:29:28,0,12.0,80.0
2023-07-26 15:29:37,3,12.0,8.0
2023-07-26 15:31:23,3,12.0,102.0
