,ts,id,rssi
275,2023-08-24 17:30:01,3,-68
274,2023-08-24 17:30:07,2,-69
273,2023-08-24 17:30:07,3,-58
272,2023-08-24 17:30:13,2,-60
271,2023-08-24 17:30:13,3,-65
270,2023-08-24 17:30:19,3,-59
269,2023-08-24 17:30:31,2,-67
268,2023-08-24 17:30:31,3,-70
267,2023-08-24 17:30:37,1,-44
266,2023-08-24 17:30:43,2,-61
265,2023-08-24 17:30:43,3,-62
264,2023-08-24 17:31:01,3,-68
263,2023-08-24 17:31:07,3,-60
262,2023-08-24 17:31:19,2,-69
261,2023-08-24 17:31:25,3,-67
260,2023-08-24 17:31:43,3,-60
259,2023-08-24 17:31:49,1,-51
258,2023-08-24 17:32:13,3,-70
257,2023-08-24 17:32:25,1,-43
256,2023-08-24 17:32:31,2,-73
255,2023-08-24 17:32:31,1,-51
254,2023-08-24 17:32:43,3,-60
253,2023-08-24 17:32:49,3,-70
252,2023-08-24 17:32:49,1,-45
251,2023-08-24 17:32:55,3,-60
250,2023-08-24 17:33:07,3,-67
249,2023-08-24 17:33:13,3,-61
248,2023-08-24 17:33:19,2,-67
247,2023-08-24 17:33:25,1,-51
246,2023-08-24 17:33:37,3,-68
245,2023-08-24 17:33:37,1,-45
244,2023-08-24 17:33:43,2,-61
243,2023-08-24 17:33:43,3,-59
242,2023-08-24 17:33:49,2,-67
241,2023-08-24 17:33:49,3,-69
240,2023-08-24 17:33:55,3,-60
239,2023-08-24 17:34:01,3,-68
238,2023-08-24 17:34:25,2,-61
237,2023-08-24 17:34:25,3,-59
236,2023-08-24 17:34:43,3,-70
235,2023-08-24 17:34:49,3,-59
234,2023-08-24 17:34:55,2,-70
233,2023-08-24 17:34:55,1,-65
232,2023-08-24 17:35:01,3,-59
231,2023-08-24 17:35:01,1,-50
230,2023-08-24 17:35:07,3,-69
229,2023-08-24 17:35:13,2,-60
228,2023-08-24 17:35:13,3,-59
227,2023-08-24 17:35:37,1,-58
226,2023-08-24 17:35:43,3,-67
225,2023-08-24 17:35:49,3,-59
224,2023-08-24 17:35:49,1,-66
223,2023-08-24 17:35:55,2,-66
222,2023-08-24 17:35:55,1,-49
221,2023-08-24 17:36:01,2,-60
220,2023-08-24 17:36:07,2,-66
219,2023-08-24 17:36:07,3,-67
218,2023-08-24 17:36:19,2,-60
217,2023-08-24 17:36:19,3,-60
216,2023-08-24 17:36:25,2,-68
215,2023-08-24 17:36:43,3,-67
214,2023-08-24 17:36:43,1,-55
213,2023-08-24 17:36:49,1,-47
212,2023-08-24 17:36:55,3,-74
211,2023-08-24 17:37:01,3,-68
210,2023-08-24 17:37:19,1,-60
209,2023-08-24 17:37:25,1,-66
208,2023-08-24 17:37:31,2,-75
207,2023-08-24 17:37:37,1,-73
206,2023-08-24 17:37:43,3,-61
205,2023-08-24 17:37:49,3,-68
204,2023-08-24 17:37:49,1,-64
203,2023-08-24 17:37:55,2,-68
202,2023-08-24 17:37:55,1,-71
201,2023-08-24 17:38:07,2,-76
200,2023-08-24 17:38:13,3,-60
199,2023-08-24 17:38:19,3,-67
198,2023-08-24 17:38:31,3,-60
197,2023-08-24 17:38:37,1,-64
196,2023-08-24 17:38:49,1,-73
195,2023-08-24 17:38:55,1,-65
194,2023-08-24 17:39:07,1,-73
193,2023-08-24 17:39:19,3,-68
192,2023-08-24 17:39:19,1,-65
191,2023-08-24 17:39:25,2,-64
190,2023-08-24 17:39:25,3,-60
