,ts,id,rssi
1149,2023-08-01 09:00:55,1,-66
1148,2023-08-01 09:01:37,1,-72
1147,2023-08-01 09:08:43,1,-65
1146,2023-08-01 09:09:31,1,-71
1145,2023-08-01 09:09:37,1,-64
1144,2023-08-01 09:10:01,2,-61
1143,2023-08-01 09:10:07,1,-74
1142,2023-08-01 09:10:13,2,-63
1141,2023-08-01 09:10:13,1,-64
1140,2023-08-01 09:10:19,2,-69
1139,2023-08-01 09:10:19,1,-71
1138,2023-08-01 09:10:25,2,-62
1137,2023-08-01 09:10:25,1,-65
1136,2023-08-01 09:11:01,2,-72
1135,2023-08-01 09:11:13,2,-66
1134,2023-08-01 09:11:14,1,-73
1133,2023-08-01 09:11:37,2,-73
1132,2023-08-01 09:11:43,2,-67
1131,2023-08-01 09:11:43,1,-67
1130,2023-08-01 09:12:20,1,-73
1129,2023-08-01 09:12:25,1,-67
1128,2023-08-01 09:13:02,1,-73
1127,2023-08-01 09:13:08,1,-67
1126,2023-08-01 09:17:50,1,-73
1125,2023-08-01 09:17:56,1,-67
1124,2023-08-01 09:18:02,1,-73
1123,2023-08-01 09:18:26,1,-67
1122,2023-08-01 09:20:08,2,-73
1121,2023-08-01 09:20:32,2,-67
1120,2023-08-01 09:21:20,2,-73
1119,2023-08-01 09:21:26,2,-66
1118,2023-08-01 09:21:38,2,-72
1117,2023-08-01 09:22:20,1,-74
1116,2023-08-01 09:22:26,1,-67
1115,2023-08-01 09:23:08,2,-66
1114,2023-08-01 09:23:14,2,-76
1113,2023-08-01 09:24:02,2,-68
1112,2023-08-01 09:24:08,2,-74
1111,2023-08-01 09:24:14,2,-68
1110,2023-08-01 09:26:14,1,-73
1109,2023-08-01 09:26:20,1,-67
1108,2023-08-01 09:26:26,2,-74
1107,2023-08-01 09:27:14,2,-68
1106,2023-08-01 09:27:27,2,-74
1105,2023-08-01 09:27:51,1,-73
1104,2023-08-01 09:27:57,1,-64
1103,2023-08-01 09:28:51,2,-67
1102,2023-08-01 09:29:21,1,-73
1101,2023-08-01 09:29:39,1,-64
1100,2023-08-01 09:29:45,2,-75
1099,2023-08-01 09:29:51,2,-68
1098,2023-08-01 09:29:57,1,-72
1097,2023-08-01 09:30:09,1,-65
1096,2023-08-01 09:30:15,1,-73
1095,2023-08-01 09:30:27,1,-67
1094,2023-08-01 09:30:33,1,-77
