,ts,gabarit
564,2023-10-02 09:06:45,22
563,2023-10-02 09:06:50,0
562,2023-10-02 09:20:29,17
561,2023-10-02 09:20:34,0
560,2023-10-02 09:22:00,9
559,2023-10-02 09:22:05,0
558,2023-10-02 09:22:32,9
557,2023-10-02 09:22:34,9
556,2023-10-02 09:22:36,9
555,2023-10-02 09:22:38,9
554,2023-10-02 09:22:40,9
553,2023-10-02 09:22:45,0
552,2023-10-02 09:32:24,8
551,2023-10-02 09:32:29,0
550,2023-10-02 09:33:45,24
549,2023-10-02 09:33:50,0
548,2023-10-02 09:35:32,16
547,2023-10-02 09:35:37,0
546,2023-10-02 09:36:18,16
545,2023-10-02 09:36:23,0
544,2023-10-02 09:36:31,16
543,2023-10-02 09:36:36,0
542,2023-10-02 09:38:55,0
541,2023-10-02 09:39:48,15
540,2023-10-02 09:39:53,0
539,2023-10-02 09:43:48,5
538,2023-10-02 09:43:50,5
537,2023-10-02 09:43:55,0
536,2023-10-02 09:48:42,24
535,2023-10-02 09:48:47,0
534,2023-10-02 09:50:53,17
533,2023-10-02 09:50:58,0
532,2023-10-02 09:51:57,22
531,2023-10-02 09:52:02,0
530,2023-10-02 09:52:25,22
529,2023-10-02 09:52:27,22
528,2023-10-02 09:52:29,22
527,2023-10-02 09:52:31,22
526,2023-10-02 09:52:33,22
525,2023-10-02 09:52:35,22
524,2023-10-02 09:52:37,22
523,2023-10-02 09:52:42,0
522,2023-10-02 09:53:58,15
521,2023-10-02 09:54:03,0
520,2023-10-02 09:55:55,7
519,2023-10-02 09:56:00,0
518,2023-10-02 09:57:28,9
517,2023-10-02 09:57:33,0
516,2023-10-02 10:02:50,24
515,2023-10-02 10:02:55,0
514,2023-10-02 10:09:25,15
513,2023-10-02 10:09:27,15
512,2023-10-02 10:09:29,15
511,2023-10-02 10:09:31,15
510,2023-10-02 10:09:33,15
509,2023-10-02 10:09:38,0
508,2023-10-02 10:11:48,19
507,2023-10-02 10:11:52,0
506,2023-10-02 10:13:17,9
505,2023-10-02 10:13:19,9
504,2023-10-02 10:13:24,0
503,2023-10-02 10:18:44,24
502,2023-10-02 10:18:49,0
501,2023-10-02 10:20:48,1
500,2023-10-02 10:20:53,0
499,2023-10-02 10:21:29,1
498,2023-10-02 10:21:35,0
497,2023-10-02 10:24:07,15
496,2023-10-02 10:24:12,0
495,2023-10-02 10:25:00,16
494,2023-10-02 10:25:06,0
493,2023-10-02 10:25:48,16
492,2023-10-02 10:25:53,0
491,2023-10-02 10:26:11,16
490,2023-10-02 10:26:17,0
489,2023-10-02 10:48:23,0
488,2023-10-02 10:52:33,5
487,2023-10-02 10:52:38,0
486,2023-10-02 10:53:16,5
485,2023-10-02 10:53:22,0
484,2023-10-02 10:53:23,5
483,2023-10-02 10:53:28,0
482,2023-10-02 10:55:40,1
481,2023-10-02 10:55:42,1
480,2023-10-02 10:55:47,0
479,2023-10-02 10:56:12,1
478,2023-10-02 10:56:14,1
477,2023-10-02 10:56:18,1
476,2023-10-02 10:56:23,0
475,2023-10-02 10:59:25,15
474,2023-10-02 10:59:30,0
473,2023-10-02 11:01:50,3
472,2023-10-02 11:01:55,0
471,2023-10-02 11:02:11,3
470,2023-10-02 11:02:13,3
469,2023-10-02 11:02:18,0
468,2023-10-02 11:02:37,3
467,2023-10-02 11:02:39,3
466,2023-10-02 11:02:41,3
465,2023-10-02 11:02:45,3
464,2023-10-02 11:02:50,0
463,2023-10-02 11:26:28,5
462,2023-10-02 11:26:33,0
461,2023-10-02 11:29:44,9
460,2023-10-02 11:29:49,0
459,2023-10-02 11:29:50,9
458,2023-10-02 11:29:55,0
457,2023-10-02 11:30:42,1
456,2023-10-02 11:30:47,0
455,2023-10-02 11:36:57,0
454,2023-10-02 11:47:20,0
453,2023-10-02 11:47:21,5
452,2023-10-02 11:47:26,0
451,2023-10-02 11:47:37,5
450,2023-10-02 11:47:39,5
449,2023-10-02 11:47:41,5
448,2023-10-02 11:47:46,5
447,2023-10-02 11:47:51,0
446,2023-10-02 11:49:59,9
445,2023-10-02 11:50:04,0
444,2023-10-02 11:53:46,1
443,2023-10-02 11:53:51,0
442,2023-10-02 11:56:48,15
441,2023-10-02 11:56:50,15
440,2023-10-02 11:56:52,15
439,2023-10-02 11:56:54,15
438,2023-10-02 11:56:56,15
437,2023-10-02 11:56:58,15
436,2023-10-02 11:57:03,0
435,2023-10-02 11:57:44,19
434,2023-10-02 11:57:46,19
433,2023-10-02 11:57:48,19
432,2023-10-02 11:57:50,19
431,2023-10-02 11:57:52,19
430,2023-10-02 11:57:54,19
429,2023-10-02 11:57:56,19
428,2023-10-02 11:58:01,0
427,2023-10-02 12:04:27,5
426,2023-10-02 12:04:32,0
425,2023-10-02 12:05:46,24
424,2023-10-02 12:05:50,24
423,2023-10-02 12:05:55,0
422,2023-10-02 12:07:50,1
421,2023-10-02 12:07:55,0
420,2023-10-02 12:08:14,1
419,2023-10-02 12:08:16,1
418,2023-10-02 12:08:18,1
417,2023-10-02 12:08:23,0
416,2023-10-02 12:10:55,0
415,2023-10-02 12:11:07,3
414,2023-10-02 12:11:11,3
413,2023-10-02 12:11:16,0
412,2023-10-02 12:11:51,3
411,2023-10-02 12:11:53,3
410,2023-10-02 12:11:55,3
409,2023-10-02 12:12:00,3
408,2023-10-02 12:12:05,0
407,2023-10-02 12:12:07,3
406,2023-10-02 12:12:13,0
405,2023-10-02 12:12:15,15
404,2023-10-02 12:12:20,0
403,2023-10-02 12:16:13,10
