ts,gabarit
2023-10-06 16:24:38,2
2023-10-06 16:27:23,11
2023-10-06 16:31:11,10
2023-10-06 16:32:17,5
2023-10-06 16:52:59,1
2023-10-06 16:54:09,19
2023-10-06 16:56:47,2
2023-10-06 16:58:04,13
2023-10-06 16:58:18,13
2023-10-06 16:58:40,13
2023-10-06 16:59:10,22
2023-10-06 16:59:13,22
2023-10-06 16:59:15,22
2023-10-06 16:59:17,22
2023-10-06 16:59:18,22
2023-10-06 16:59:21,22
2023-10-06 16:59:23,22
2023-10-06 16:59:25,22
2023-10-06 16:59:41,22
2023-10-06 16:59:41,22
2023-10-06 16:59:41,22
2023-10-06 16:59:43,22
2023-10-06 16:59:45,22
2023-10-06 16:59:47,22
2023-10-06 16:59:49,22
2023-10-06 16:59:51,22
2023-10-06 17:00:23,8
2023-10-06 17:00:25,8
2023-10-06 17:00:27,8
2023-10-06 17:00:31,8
2023-10-06 17:00:31,8
2023-10-06 17:00:33,8
2023-10-06 17:00:35,8
2023-10-06 17:00:37,8
2023-10-06 17:00:39,8
2023-10-06 17:00:41,8
2023-10-06 17:00:43,8
2023-10-06 17:00:45,8
2023-10-06 17:00:47,8
2023-10-06 17:00:49,8
2023-10-06 17:00:51,8
2023-10-06 17:00:53,8
2023-10-06 17:00:55,8
2023-10-06 17:00:57,8
2023-10-06 17:00:59,8
2023-10-06 17:01:02,8
2023-10-06 17:02:45,5
2023-10-06 17:04:56,15
2023-10-06 17:06:30,19
2023-10-06 17:06:45,19
2023-10-06 17:06:47,19
2023-10-06 17:06:49,19
2023-10-06 17:06:51,19
2023-10-06 17:06:53,19
2023-10-06 17:06:55,19
2023-10-06 17:06:57,19
2023-10-06 17:06:59,19
2023-10-06 17:07:01,19
2023-10-06 17:07:03,19
2023-10-06 17:07:05,19
2023-10-06 17:07:07,19
2023-10-06 17:07:09,19
2023-10-06 17:07:11,19
2023-10-06 17:07:13,19
2023-10-06 17:07:16,19
2023-10-06 17:07:17,19
2023-10-06 17:07:21,19
2023-10-06 17:07:21,19
2023-10-06 17:07:23,19
2023-10-06 17:07:25,19
2023-10-06 17:07:27,19
2023-10-06 17:07:36,9
2023-10-06 17:07:37,9
2023-10-06 17:07:39,9
2023-10-06 17:07:41,9
2023-10-06 17:07:43,9
2023-10-06 17:07:45,9
2023-10-06 17:07:47,9
2023-10-06 17:07:49,9
2023-10-06 17:07:51,9
2023-10-06 17:07:53,9
2023-10-06 17:07:55,9
2023-10-06 17:07:57,9
2023-10-06 17:07:59,9
2023-10-06 17:08:02,9
2023-10-06 17:08:03,9
2023-10-06 17:08:05,9
2023-10-06 17:08:07,9
2023-10-06 17:08:09,9
2023-10-06 17:08:12,9
2023-10-06 17:08:16,9
2023-10-06 17:08:19,9
2023-10-06 17:08:20,9
2023-10-06 17:08:21,9
2023-10-06 17:08:23,9
2023-10-06 17:08:25,9
2023-10-06 17:08:27,9
2023-10-06 17:08:30,9
2023-10-06 17:08:32,9
2023-10-06 17:08:33,9
2023-10-06 17:08:36,9
2023-10-06 17:09:32,2
2023-10-06 17:11:59,11
2023-10-06 17:13:08,22
2023-10-06 17:14:46,24
2023-10-06 17:17:10,5
2023-10-06 17:17:22,5
2023-10-06 17:17:24,5
2023-10-06 17:17:25,5
2023-10-06 17:17:27,5
2023-10-06 17:17:32,5
2023-10-06 17:17:46,5
2023-10-06 17:17:47,5
2023-10-06 17:17:47,5
2023-10-06 17:18:34,15
2023-10-06 17:19:20,15
2023-10-06 17:20:38,19
2023-10-06 17:21:48,9
2023-10-06 17:24:12,8
2023-10-06 17:25:23,11
2023-10-06 17:25:23,11
2023-10-06 17:25:24,11
2023-10-06 17:25:27,11
2023-10-06 17:25:29,11
2023-10-06 17:25:31,11
2023-10-06 17:25:33,11
2023-10-06 17:25:35,11
2023-10-06 17:25:37,11
2023-10-06 17:25:39,11
2023-10-06 17:25:41,11
2023-10-06 17:25:43,11
2023-10-06 17:25:45,11
2023-10-06 17:25:47,11
2023-10-06 17:25:49,11
2023-10-06 17:25:51,11
2023-10-06 17:25:53,11
2023-10-06 17:25:55,11
2023-10-06 17:25:57,11
2023-10-06 17:26:00,11
2023-10-06 17:26:01,11
2023-10-06 17:26:03,11
2023-10-06 17:29:11,5
2023-10-06 17:30:21,15
2023-10-06 17:30:36,15
2023-10-06 17:30:36,15
2023-10-06 17:30:36,15
2023-10-06 17:30:37,15
2023-10-06 17:30:39,15
2023-10-06 17:30:41,15
2023-10-06 17:30:43,15
2023-10-06 17:30:45,15
2023-10-06 17:30:47,15
2023-10-06 17:30:49,15
2023-10-06 17:30:54,15
2023-10-06 17:30:55,15
2023-10-06 17:30:55,15
2023-10-06 17:30:58,15
2023-10-06 17:31:00,15
2023-10-06 17:31:02,15
2023-10-06 17:31:04,15
2023-10-06 17:31:06,15
2023-10-06 17:31:08,15
2023-10-06 17:31:10,15
2023-10-06 17:32:58,19
2023-10-06 17:33:02,19
2023-10-06 17:33:54,19
2023-10-06 17:35:08,3
2023-10-06 17:37:16,8
2023-10-06 17:37:18,8
2023-10-06 17:37:20,8
2023-10-06 17:37:24,8
2023-10-06 17:37:24,8
2023-10-06 17:37:27,8
2023-10-06 17:37:28,8
2023-10-06 17:37:31,8
2023-10-06 17:37:33,8
2023-10-06 17:37:37,8
2023-10-06 17:37:38,8
2023-10-06 17:37:48,8
2023-10-06 17:37:48,8
2023-10-06 17:37:48,8
2023-10-06 17:37:49,8
2023-10-06 17:37:51,8
2023-10-06 17:37:53,8
2023-10-06 17:37:56,8
2023-10-06 17:37:58,8
2023-10-06 17:38:00,8
2023-10-06 17:38:03,8
2023-10-06 17:38:05,8
2023-10-06 17:38:07,8
2023-10-06 17:39:33,13
2023-10-06 17:39:53,22
2023-10-06 17:41:24,11
2023-10-06 17:45:15,19
2023-10-06 17:47:58,3
2023-10-06 17:51:10,2
2023-10-06 17:53:00,22
2023-10-06 17:55:43,10
2023-10-06 17:55:45,5
