,ts,id,rssi
2993,2023-10-09 09:00:37,2,-58
2992,2023-10-09 09:00:49,2,-69
2991,2023-10-09 09:01:01,2,-60
2990,2023-10-09 09:02:01,2,-74
2989,2023-10-09 09:02:07,2,-61
2988,2023-10-09 09:02:37,2,-70
2987,2023-10-09 09:02:49,2,-63
2986,2023-10-09 09:02:55,2,-73
2985,2023-10-09 09:03:07,2,-65
2984,2023-10-09 09:03:13,2,-73
2983,2023-10-09 09:03:19,2,-63
2982,2023-10-09 09:03:25,2,-75
2981,2023-10-09 09:03:37,2,-69
2980,2023-10-09 09:04:25,2,-63
2979,2023-10-09 09:04:55,2,-74
2978,2023-10-09 09:05:07,2,-67
2977,2023-10-09 09:05:25,2,-73
2976,2023-10-09 09:06:13,2,-65
2975,2023-10-09 09:06:20,2,-71
2974,2023-10-09 09:06:26,2,-64
2973,2023-10-09 09:07:08,2,-70
2972,2023-10-09 09:07:26,2,-64
2971,2023-10-09 09:08:26,2,-74
2970,2023-10-09 09:08:32,2,-66
2969,2023-10-09 09:08:38,2,-73
2968,2023-10-09 09:09:32,2,-79
2967,2023-10-09 09:09:50,2,-67
2966,2023-10-09 09:09:56,2,-74
2965,2023-10-09 09:10:20,2,-68
2964,2023-10-09 09:10:56,2,-100
2963,2023-10-09 09:11:02,2,-70
2962,2023-10-09 09:11:50,2,-64
2961,2023-10-09 09:12:26,2,-72
2960,2023-10-09 09:12:44,1,-63
2959,2023-10-09 09:13:08,1,-72
2958,2023-10-09 09:13:14,2,-64
2957,2023-10-09 09:13:26,2,-70
2956,2023-10-09 09:13:44,1,-65
2955,2023-10-09 09:13:56,1,-75
2954,2023-10-09 09:14:56,1,-65
2953,2023-10-09 09:15:14,2,-64
2952,2023-10-09 09:15:32,1,-76
2951,2023-10-09 09:15:38,2,-73
2950,2023-10-09 09:15:44,2,-66
2949,2023-10-09 09:15:50,1,-64
2948,2023-10-09 09:15:50,2,-74
2947,2023-10-09 09:15:56,1,-74
2946,2023-10-09 09:16:08,2,-65
2945,2023-10-09 09:16:15,2,-72
2944,2023-10-09 09:16:20,1,-65
2943,2023-10-09 09:16:26,1,-74
2942,2023-10-09 09:16:27,2,-64
2941,2023-10-09 09:16:32,1,-68
2940,2023-10-09 09:16:45,2,-72
2939,2023-10-09 09:16:50,2,-65
2938,2023-10-09 09:18:39,2,-71
2937,2023-10-09 09:18:45,2,-64
2936,2023-10-09 09:18:57,2,-73
2935,2023-10-09 09:19:15,2,-64
