Stamp;Agent;Model;Nquadro
2023-09-28 09:01:57;T012;SPT120018W;202301000128459
2023-09-28 09:03:02;T012;SPT120018W;202301000128459
2023-09-28 09:06:04;T013;SPT120018W;202302000080468
2023-09-28 09:07:45;T012;SPT120018W;202301000128460
2023-09-28 09:08:29;T013;SPT120018W;202302000080469
2023-09-28 09:09:38;T013;SPT120018W;202302000080470
2023-09-28 09:09:40;T012;SPT120018W;202301000128461
2023-09-28 09:10:33;T012;SPT120018W;202301000128462
2023-09-28 09:11:38;T013;SPT120018W;202302000080471
2023-09-28 09:12:20;T012;SPT120018W;202301000128463
2023-09-28 09:13:09;T013;SPT120018W;202302000080472
2023-09-28 09:14:24;T012;SPT120018W;202301000128464
2023-09-28 09:14:54;T013;SPT120018W;202302000080473
2023-09-28 09:15:25;T012;SPT120018W;202301000128466
2023-09-28 09:16:14;T012;SPT120018W;202301000128467
2023-09-28 09:16:43;T013;SPT120018W;202302000080474
2023-09-28 09:17:46;T012;SPT120018W;202301000128468
2023-09-28 09:19:20;T013;SPT120018W;202302000080475
2023-09-28 09:19:27;T012;SPT120018W;202301000128469
2023-09-28 09:21:20;T013;SPT120018W;202302000080476
2023-09-28 09:21:34;T012;SPT120018W;202301000128470
2023-09-28 09:22:57;T012;SPT120018W;202301000128465
2023-09-28 09:24:39;T012;SPT120018W;202301000128471
2023-09-28 09:24:56;T013;SPT120018W;202302000080477
2023-09-28 09:26:11;T012;SPT120018W;202301000128472
2023-09-28 09:26:56;T013;SPT120018W;202302000080478
2023-09-28 09:27:34;T012;SPT120018W;202301000128473
2023-09-28 09:27:41;T013;SPT120018W;202302000080478
2023-09-28 09:28:52;T013;SPT120018W;202302000080479
2023-09-28 09:29:13;T012;SPT120018W;202301000128474
2023-09-28 09:30:15;T013;SPT120018W;202302000080480
2023-09-28 09:30:45;T012;SPT120018W;202301000128475
2023-09-28 09:31:41;T012;SPT120018W;202301000128476
2023-09-28 09:31:47;T013;SPT120018W;202302000080481
2023-09-28 09:32:54;T013;SPT120018W;202302000080482
2023-09-28 09:33:17;T012;SPT120018W;202301000128477
2023-09-28 09:34:11;T013;SPT120018W;202302000080483
2023-09-28 09:35:04;T012;SPT120018W;202301000128478
2023-09-28 09:35:49;T013;SPT120018W;202302000080484
2023-09-28 09:36:10;T012;SPT120018W;202301000128479
2023-09-28 09:37:20;T012;SPT120018W;202301000128480
2023-09-28 09:37:28;T013;SPT120018W;202302000080485
2023-09-28 09:39:10;T012;SPT120018W;202301000128481
2023-09-28 09:39:48;T013;SPT120018W;202302000080486
2023-09-28 09:41:47;T012;SPT120018W;202301000128482
2023-09-28 09:42:10;T013;SPT120018W;202302000080487
2023-09-28 09:42:47;T012;SPT120018W;202301000128483
2023-09-28 09:43:58;T012;SPT120018W;202301000128484
2023-09-28 09:44:05;T013;SPT120018W;202302000080488
2023-09-28 09:45:11;T013;SPT120018W;202302000080489
2023-09-28 09:45:25;T012;SPT120018W;202301000128485
2023-09-28 09:46:22;T012;SPT120018W;202301000128486
2023-09-28 09:46:24;T013;SPT120018W;202302000080490
2023-09-28 09:48:45;T012;SPT120018W;202301000128487
2023-09-28 09:49:11;T013;SPT120018W;202302000080491
2023-09-28 09:49:41;T012;SPT120018W;202301000128488
2023-09-28 09:49:52;T013;SPT120018W;202302000080491
2023-09-28 09:50:47;T013;SPT120018W;202302000080492
2023-09-28 09:51:01;T012;SPT120018W;202301000128489
2023-09-28 09:51:58;T012;SPT120018W;202301000128490
2023-09-28 09:52:00;T013;SPT120018W;202302000080493
2023-09-28 09:52:38;T013;SPT120018W;202302000080493
2023-09-28 09:53:24;T012;SPT120018W;202301000128491
2023-09-28 09:53:35;T013;SPT120018W;202302000080494
2023-09-28 09:54:44;T013;SPT120018W;202302000080495
2023-09-28 09:54:45;T012;SPT120018W;202301000128492
2023-09-28 09:55:41;T013;SPT120018W;202302000080496
2023-09-28 09:55:55;T012;SPT120018W;202301000128493
2023-09-28 09:57:18;T012;SPT120018W;202301000128494
2023-09-28 09:57:41;T013;SPT120018W;202302000080497
2023-09-28 09:58:35;T012;SPT120018W;202301000128495
2023-09-28 09:59:31;T013;SPT120018W;202302000080498
2023-09-28 09:59:37;T012;SPT120018W;202301000128495
2023-09-28 10:00:26;T013;SPT120018W;202302000080499
2023-09-28 10:00:42;T012;SPT120018W;202301000128496
2023-09-28 10:01:56;T012;SPT120018W;202301000128497
2023-09-28 10:02:13;T013;SPT120018W;202302000080500
2023-09-28 10:02:47;T012;SPT120018W;202301000128498
2023-09-28 10:03:57;T013;SPT120018W;202302000080501
2023-09-28 10:04:09;T012;SPT120018W;202301000128499
2023-09-28 10:05:06;T012;SPT120018W;202301000128500
2023-09-28 10:05:29;T013;SPT120018W;202302000080502
2023-09-28 10:06:17;T012;SPT120018W;202301000128501
2023-09-28 10:06:21;T013;SPT120018W;202302000080502
2023-09-28 10:07:19;T013;SPT120018W;202302000080503
2023-09-28 10:07:38;T012;SPT120018W;202301000128502
2023-09-28 10:08:13;T013;SPT120018W;202302000080504
2023-09-28 10:09:14;T013;SPT120018W;202302000080505
2023-09-28 10:09:22;T012;SPT120018W;202301000128503
2023-09-28 10:10:54;T012;SPT120018W;202301000128504
2023-09-28 10:11:08;T013;SPT120018W;202302000080506
2023-09-28 10:11:55;T012;SPT120018W;202301000128505
2023-09-28 10:13:01;T012;SPT120018W;202301000128506
2023-09-28 10:14:00;T012;SPT120018W;202301000128507
2023-09-28 10:14:09;T013;SPT120018W;202302000080507
2023-09-28 10:15:06;T013;SPT120018W;202302000080507
2023-09-28 10:15:45;T012;SPT120018W;202301000128508
2023-09-28 10:16:10;T013;SPT120018W;202302000080508
2023-09-28 10:16:38;T012;SPT120018W;202301000128509
2023-09-28 10:17:25;T013;SPT120018W;202302000080509
2023-09-28 10:18:18;T013;SPT120018W;202302000080509
2023-09-28 10:18:26;T012;SPT120018W;202301000128510
2023-09-28 10:19:24;T012;SPT120018W;202301000128511
2023-09-28 10:19:26;T013;SPT120018W;202302000080510
2023-09-28 10:20:28;T012;SPT120018W;202301000128512
2023-09-28 10:20:37;T013;SPT120018W;202302000080511
2023-09-28 10:21:48;T013;SPT120018W;202302000080512
2023-09-28 10:21:50;T012;SPT120018W;202301000128513
2023-09-28 10:22:52;T013;SPT120018W;202302000080513
2023-09-28 10:23:20;T012;SPT120018W;202301000128514
2023-09-28 10:24:07;T013;SPT120018W;202302000080514
2023-09-28 10:24:48;T012;SPT120018W;202301000128515
2023-09-28 10:25:27;T013;SPT120018W;202302000080515
2023-09-28 10:25:50;T012;SPT120018W;202301000128516
2023-09-28 10:27:10;T012;SPT120018W;202301000128517
2023-09-28 10:27:52;T013;SPT120018W;202302000080516
2023-09-28 10:28:16;T012;SPT120018W;202301000128518
2023-09-28 10:29:08;T013;SPT120018W;202302000080517
2023-09-28 10:29:33;T012;SPT120018W;202301000128519
2023-09-28 10:31:24;T013;SPT120018W;202302000080518
2023-09-28 10:47:29;T013;SPT120018W;202302000080519
2023-09-28 10:48:07;T012;SPT120018W;202301000128520
2023-09-28 10:49:15;T012;SPT120018W;202301000128521
2023-09-28 10:50:15;T013;SPT120018W;202302000080520
2023-09-28 10:50:24;T012;SPT120018W;202301000128522
2023-09-28 10:51:31;T013;SPT120018W;202302000080520
2023-09-28 10:52:13;T013;SPT120018W;202302000080520
2023-09-28 10:52:48;T012;SPT120018W;202301000128523
2023-09-28 10:53:32;T013;SPT120018W;202302000080521
2023-09-28 10:54:29;T013;SPT120018W;202302000080522
2023-09-28 10:54:46;T012;SPT120018W;202301000128524
2023-09-28 10:55:39;T012;SPT120018W;202301000128525
2023-09-28 10:55:54;T013;SPT120018W;202302000080523
2023-09-28 10:56:57;T012;SPT120018W;202301000128526
2023-09-28 10:57:48;T013;SPT120018W;202302000080524
2023-09-28 10:58:49;T012;SPT120018W;202301000128527
2023-09-28 10:59:57;T012;SPT120018W;202301000128528
2023-09-28 11:01:11;T012;SPT120018W;202301000128529
2023-09-28 11:01:32;T013;SPT120018W;202302000080525
2023-09-28 11:02:53;T012;SPT120018W;202301000128530
2023-09-28 11:04:19;T012;SPT120018W;202301000128531
2023-09-28 11:06:07;T012;SPT120018W;202301000128532
2023-09-28 11:06:46;T013;SPT120018W;202302000080525
2023-09-28 11:07:07;T012;SPT120018W;202301000128533
2023-09-28 11:08:01;T013;SPT120018W;202302000080526
2023-09-28 11:08:20;T012;SPT120018W;202301000128534
2023-09-28 11:08:55;T013;SPT120018W;202302000080527
2023-09-28 11:09:16;T012;SPT120018W;202301000128535
2023-09-28 11:09:54;T013;SPT120018W;202302000080528
2023-09-28 11:11:09;T013;SPT120018W;202302000080529
2023-09-28 11:11:37;T012;SPT120018W;202301000128536
2023-09-28 11:12:33;T012;SPT120018W;202301000128537
2023-09-28 11:12:35;T013;SPT120018W;202302000080530
2023-09-28 11:13:56;T012;SPT120018W;202301000128537
2023-09-28 11:14:31;T013;SPT120018W;202302000080531
2023-09-28 11:14:44;T012;SPT120018W;202301000128538
2023-09-28 11:15:54;T012;SPT120018W;202301000128539
2023-09-28 11:15:58;T013;SPT120018W;202302000080532
2023-09-28 11:16:52;T013;SPT120018W;202302000080533
2023-09-28 11:17:04;T012;SPT120018W;202301000128540
2023-09-28 11:17:47;T013;SPT120018W;202302000080534
2023-09-28 11:17:52;T012;SPT120018W;202301000128541
2023-09-28 11:18:42;T012;SPT120018W;202301000128542
2023-09-28 11:18:53;T013;SPT120018W;202302000080534
2023-09-28 11:19:58;T012;SPT120018W;202301000128543
2023-09-28 11:20:00;T013;SPT120018W;202302000080535
2023-09-28 11:20:57;T013;SPT120018W;202302000080536
2023-09-28 11:21:48;T013;SPT120018W;202302000080537
2023-09-28 11:21:51;T012;SPT120018W;202301000128544
2023-09-28 11:22:40;T012;SPT120018W;202301000128545
2023-09-28 11:22:45;T013;SPT120018W;202302000080538
2023-09-28 11:23:38;T012;SPT120018W;202301000128546
2023-09-28 11:23:43;T013;SPT120018W;202302000080539
2023-09-28 11:24:33;T012;SPT120018W;202301000128547
2023-09-28 11:25:16;T013;SPT120018W;202302000080540
2023-09-28 11:25:55;T012;SPT120018W;202301000128548
2023-09-28 11:26:35;T013;SPT120018W;202302000080541
2023-09-28 11:27:27;T012;SPT120018W;202301000128549
2023-09-28 11:28:25;T013;SPT120018W;202302000080542
2023-09-28 11:29:07;T012;SPT120018W;202301000128550
2023-09-28 11:29:40;T013;SPT120018W;202302000080543
