Stamp,Agent,Model,Nquadro
2023-09-26 09:00:51,T012,SPT120018W,202301000127808
2023-09-26 09:02:50,T014,ORIONT-40,202302000079883
2023-09-26 09:02:51,T012,SPT120018W,202301000127809
2023-09-26 09:04:49,T012,SPT120018W,202301000127810
2023-09-26 09:05:53,T012,SPT120018W,202301000127811
2023-09-26 09:07:10,T014,ORIONT-40,202302000079878
2023-09-26 09:07:11,T012,SPT120018W,202301000127812
2023-09-26 09:08:29,T014,ORIONT-40,202302000079878
2023-09-26 09:08:34,T012,SPT120018W,202301000127813
2023-09-26 09:09:38,T012,SPT120018W,202301000127814
2023-09-26 09:10:26,T012,SPT120018W,202301000127814
2023-09-26 09:11:13,T012,SPT120018W,202301000127815
2023-09-26 09:12:20,T012,SPT120018W,202301000127816
2023-09-26 09:13:52,T012,SPT120018W,202301000127817
2023-09-26 09:15:01,T012,SPT120018W,202301000127818
2023-09-26 09:15:01,T014,ORIONT-40,202302000079878
2023-09-26 09:16:11,T012,SPT120018W,202301000127819
2023-09-26 09:16:57,T012,SPT120018W,202301000127819
2023-09-26 09:17:54,T012,SPT120018W,202301000127820
2023-09-26 09:18:34,T014,ORIONT-40,202302000079880
2023-09-26 09:19:08,T012,SPT120018W,202301000127821
2023-09-26 09:21:13,T012,SPT120018W,202301000127822
2023-09-26 09:22:04,T012,SPT120018W,202301000127823
2023-09-26 09:23:05,T012,SPT120018W,202301000127824
2023-09-26 09:24:22,T014,ORIONT-40,202302000079879
2023-09-26 09:24:24,T012,SPT120018W,202301000127825
2023-09-26 09:25:28,T012,SPT120018W,202301000127826
2023-09-26 09:25:39,T014,ORIONT-40,202302000079879
2023-09-26 09:26:06,T012,SPT120018W,202301000127826
2023-09-26 09:27:04,T012,SPT120018W,202301000127827
2023-09-26 09:28:00,T012,SPT120018W,202301000127828
2023-09-26 09:28:13,T014,ORIONT-40,202302000079884
2023-09-26 09:29:13,T012,SPT120018W,202301000127829
2023-09-26 09:29:52,T014,ORIONT-40,202302000079884
2023-09-26 09:30:31,T012,SPT120018W,202301000127830
2023-09-26 09:30:50,T014,ORIONT-40,202302000079884
2023-09-26 09:31:59,T012,SPT120018W,202301000127831
2023-09-26 09:33:11,T012,SPT120018W,202301000127832
2023-09-26 09:34:20,T012,SPT120018W,202301000127833
2023-09-26 09:35:56,T012,SPT120018W,202301000127834
2023-09-26 09:37:10,T012,SPT120018W,202301000127835
2023-09-26 09:38:39,T012,SPT120018W,202301000127836
2023-09-26 09:39:44,T012,SPT120018W,202301000127837
2023-09-26 09:40:42,T012,SPT120018W,202301000127838
2023-09-26 09:41:58,T012,SPT120018W,202301000127839
2023-09-26 09:43:44,T012,SPT120018W,202301000127840
2023-09-26 09:44:38,T012,SPT120018W,202301000127841
2023-09-26 09:45:53,T012,SPT120018W,202301000127842
2023-09-26 09:47:00,T012,SPT120018W,202301000127843
2023-09-26 09:48:05,T012,SPT120018W,202301000127844
2023-09-26 09:49:38,T012,SPT120018W,202301000127845
2023-09-26 09:51:08,T012,SPT120018W,202301000127846
2023-09-26 09:51:54,T012,SPT120018W,202301000127847
2023-09-26 09:52:59,T012,SPT120018W,202301000127847
2023-09-26 09:53:53,T012,SPT120018W,202301000127848
2023-09-26 09:54:48,T012,SPT120018W,202301000127849
2023-09-26 09:56:44,T012,SPT120018W,202301000127850
2023-09-26 09:57:41,T012,SPT120018W,202301000127851
2023-09-26 09:58:39,T012,SPT120018W,202301000127852
2023-09-26 09:59:39,T012,SPT120018W,202301000127853
2023-09-26 10:00:30,T012,SPT120018W,202301000127854
2023-09-26 10:02:08,T012,SPT120018W,202301000127855
2023-09-26 10:03:40,T012,SPT120018W,202301000127856
2023-09-26 10:04:27,T014,ORIONT-40,202302000079885
2023-09-26 10:05:09,T012,SPT120018W,202301000127857
2023-09-26 10:06:11,T012,SPT120018W,202301000127858
2023-09-26 10:06:56,T014,ORIONT-40,202302000079885
2023-09-26 10:07:25,T012,SPT120018W,202301000127859
2023-09-26 10:08:37,T012,SPT120018W,202301000127860
2023-09-26 10:10:18,T014,ORIONT-40,202302000079885
2023-09-26 10:11:03,T012,SPT120018W,202301000127861
2023-09-26 10:12:22,T012,SPT120018W,202301000127862
2023-09-26 10:13:09,T012,SPT120018W,202301000127863
2023-09-26 10:14:44,T012,SPT120018W,202301000127864
2023-09-26 10:16:23,T012,SPT120018W,202301000127865
2023-09-26 10:17:37,T012,SPT120018W,202301000127866
2023-09-26 10:18:33,T012,SPT120018W,202301000127867
2023-09-26 10:19:33,T012,SPT120018W,202301000127868
2023-09-26 10:20:11,T013,SPT120018W,202302000080017
2023-09-26 10:20:50,T012,SPT120018W,202301000127869
2023-09-26 10:21:46,T013,SPT120018W,202302000080018
2023-09-26 10:21:52,T014,ORIONT-40,202302000079885
2023-09-26 10:22:29,T012,SPT120018W,202301000127870
2023-09-26 10:23:28,T013,SPT120018W,202302000080019
2023-09-26 10:23:36,T012,SPT120018W,202301000127871
