ts,gabarit
2023-09-26 09:02:51,17
2023-09-26 09:04:39,18
2023-09-26 09:05:01,18
2023-09-26 09:05:47,24
2023-09-26 09:07:02,12
2023-09-26 09:12:50,9
2023-09-26 09:12:53,9
2023-09-26 09:12:55,9
2023-09-26 09:15:53,6
2023-09-26 09:16:38,5
2023-09-26 09:18:25,3
2023-09-26 09:19:21,17
2023-09-26 09:21:09,18
2023-09-26 09:25:35,16
2023-09-26 09:26:53,4
2023-09-26 09:31:27,5
2023-09-26 09:33:19,3
2023-09-26 09:33:51,17
2023-09-26 09:35:28,24
2023-09-26 09:37:16,18
2023-09-26 09:38:24,2
2023-09-26 09:39:32,12
2023-09-26 09:39:53,12
2023-09-26 09:40:01,12
2023-09-26 09:40:51,16
2023-09-26 09:43:21,9
2023-09-26 09:44:35,20
2023-09-26 09:45:58,6
2023-09-26 09:48:23,3
2023-09-26 09:50:54,24
2023-09-26 09:53:51,2
2023-09-26 09:55:00,12
2023-09-26 09:58:44,9
2023-09-26 10:01:52,6
2023-09-26 10:02:16,5
2023-09-26 10:03:36,3
2023-09-26 10:03:47,3
2023-09-26 10:03:51,3
2023-09-26 10:03:52,3
2023-09-26 10:03:52,3
2023-09-26 10:03:54,3
2023-09-26 10:03:56,3
2023-09-26 10:03:58,3
2023-09-26 10:04:01,3
2023-09-26 10:04:03,3
2023-09-26 10:04:04,3
2023-09-26 10:04:17,3
2023-09-26 10:04:18,3
2023-09-26 10:04:18,3
2023-09-26 10:04:19,3
2023-09-26 10:04:44,17
2023-09-26 10:06:33,24
2023-09-26 10:07:22,18
2023-09-26 10:07:50,18
2023-09-26 10:08:37,2
2023-09-26 10:15:05,9
2023-09-26 10:15:05,9
2023-09-26 10:15:07,9
2023-09-26 10:15:08,9
2023-09-26 10:16:24,9
2023-09-26 10:16:24,9
2023-09-26 10:16:24,9
2023-09-26 10:16:24,9
2023-09-26 10:16:24,9
2023-09-26 10:17:41,5
2023-09-26 10:18:29,17
2023-09-26 10:19:43,24
2023-09-26 10:21:03,18
2023-09-26 10:22:21,2
2023-09-26 10:22:25,2
2023-09-26 10:22:27,2
2023-09-26 10:22:29,2
2023-09-26 10:22:31,2
2023-09-26 10:22:33,2
2023-09-26 10:26:08,4
2023-09-26 10:51:41,2
2023-09-26 10:58:49,11
2023-09-26 10:59:59,21
2023-09-26 11:10:13,4
2023-09-26 11:12:00,16
2023-09-26 11:14:37,23
2023-09-26 11:18:15,15
2023-09-26 11:21:34,12
2023-09-26 11:23:22,11
2023-09-26 15:26:25,1
2023-09-26 15:27:34,3
2023-09-26 15:27:37,3
2023-09-26 15:27:45,3
2023-09-26 15:28:20,3
2023-09-26 15:28:53,18
2023-09-26 15:31:53,2
2023-09-26 15:32:55,22
2023-09-26 15:33:14,22
2023-09-26 15:33:15,22
2023-09-26 15:33:35,6
2023-09-26 15:35:10,4
2023-09-26 15:35:12,4
2023-09-26 15:35:15,4
2023-09-26 15:35:18,4
2023-09-26 15:35:36,4
2023-09-26 15:35:36,4
2023-09-26 15:35:41,4
2023-09-26 15:35:41,4
2023-09-26 15:40:30,1
2023-09-26 15:40:52,3
2023-09-26 17:42:49,18
2023-09-26 17:48:17,19
2023-09-26 17:57:30,4
