Stamp,Agent,Model,Nquadro
2023-09-26 09:00:00,T012,SPT120018W,202301000127808
2023-09-26 09:02:00,T014,ORIONT-40,202302000079883
2023-09-26 09:02:00,T012,SPT120018W,202301000127809
2023-09-26 09:04:00,T012,SPT120018W,202301000127810
2023-09-26 09:05:00,T012,SPT120018W,202301000127811
2023-09-26 09:07:00,T014,ORIONT-40,202302000079878
2023-09-26 09:07:00,T012,SPT120018W,202301000127812
2023-09-26 09:08:00,T014,ORIONT-40,202302000079878
2023-09-26 09:08:00,T012,SPT120018W,202301000127813
2023-09-26 09:09:00,T012,SPT120018W,202301000127814
2023-09-26 09:10:00,T012,SPT120018W,202301000127814
2023-09-26 09:11:00,T012,SPT120018W,202301000127815
2023-09-26 09:12:00,T012,SPT120018W,202301000127816
2023-09-26 09:13:00,T012,SPT120018W,202301000127817
2023-09-26 09:15:00,T012,SPT120018W,202301000127818
2023-09-26 09:15:00,T014,ORIONT-40,202302000079878
2023-09-26 09:16:00,T012,SPT120018W,202301000127819
2023-09-26 09:16:00,T012,SPT120018W,202301000127819
2023-09-26 09:17:00,T012,SPT120018W,202301000127820
2023-09-26 09:18:00,T014,ORIONT-40,202302000079880
2023-09-26 09:19:00,T012,SPT120018W,202301000127821
2023-09-26 09:21:00,T012,SPT120018W,202301000127822
2023-09-26 09:22:00,T012,SPT120018W,202301000127823
2023-09-26 09:23:00,T012,SPT120018W,202301000127824
2023-09-26 09:24:00,T014,ORIONT-40,202302000079879
2023-09-26 09:24:00,T012,SPT120018W,202301000127825
2023-09-26 09:25:00,T012,SPT120018W,202301000127826
2023-09-26 09:25:00,T014,ORIONT-40,202302000079879
2023-09-26 09:26:00,T012,SPT120018W,202301000127826
2023-09-26 09:27:00,T012,SPT120018W,202301000127827
2023-09-26 09:28:00,T012,SPT120018W,202301000127828
2023-09-26 09:28:00,T014,ORIONT-40,202302000079884
2023-09-26 09:29:00,T012,SPT120018W,202301000127829
2023-09-26 09:29:00,T014,ORIONT-40,202302000079884
2023-09-26 09:30:00,T012,SPT120018W,202301000127830
2023-09-26 09:30:00,T014,ORIONT-40,202302000079884
2023-09-26 09:31:00,T012,SPT120018W,202301000127831
2023-09-26 09:33:00,T012,SPT120018W,202301000127832
2023-09-26 09:34:00,T012,SPT120018W,202301000127833
2023-09-26 09:35:00,T012,SPT120018W,202301000127834
2023-09-26 09:37:00,T012,SPT120018W,202301000127835
2023-09-26 09:38:00,T012,SPT120018W,202301000127836
2023-09-26 09:39:00,T012,SPT120018W,202301000127837
2023-09-26 09:40:00,T012,SPT120018W,202301000127838
2023-09-26 09:41:00,T012,SPT120018W,202301000127839
2023-09-26 09:43:00,T012,SPT120018W,202301000127840
2023-09-26 09:44:00,T012,SPT120018W,202301000127841
2023-09-26 09:45:00,T012,SPT120018W,202301000127842
2023-09-26 09:47:00,T012,SPT120018W,202301000127843
2023-09-26 09:48:00,T012,SPT120018W,202301000127844
2023-09-26 09:49:00,T012,SPT120018W,202301000127845
2023-09-26 09:51:00,T012,SPT120018W,202301000127846
2023-09-26 09:51:00,T012,SPT120018W,202301000127847
2023-09-26 09:52:00,T012,SPT120018W,202301000127847
2023-09-26 09:53:00,T012,SPT120018W,202301000127848
2023-09-26 09:54:00,T012,SPT120018W,202301000127849
2023-09-26 09:56:00,T012,SPT120018W,202301000127850
2023-09-26 09:57:00,T012,SPT120018W,202301000127851
2023-09-26 09:58:00,T012,SPT120018W,202301000127852
2023-09-26 09:59:00,T012,SPT120018W,202301000127853
2023-09-26 10:00:00,T012,SPT120018W,202301000127854
2023-09-26 10:02:00,T012,SPT120018W,202301000127855
2023-09-26 10:03:00,T012,SPT120018W,202301000127856
2023-09-26 10:04:00,T014,ORIONT-40,202302000079885
2023-09-26 10:05:00,T012,SPT120018W,202301000127857
2023-09-26 10:06:00,T012,SPT120018W,202301000127858
2023-09-26 10:06:00,T014,ORIONT-40,202302000079885
2023-09-26 10:07:00,T012,SPT120018W,202301000127859
2023-09-26 10:08:00,T012,SPT120018W,202301000127860
2023-09-26 10:10:00,T014,ORIONT-40,202302000079885
2023-09-26 10:11:00,T012,SPT120018W,202301000127861
2023-09-26 10:12:00,T012,SPT120018W,202301000127862
2023-09-26 10:13:00,T012,SPT120018W,202301000127863
2023-09-26 10:14:00,T012,SPT120018W,202301000127864
2023-09-26 10:16:00,T012,SPT120018W,202301000127865
2023-09-26 10:17:00,T012,SPT120018W,202301000127866
2023-09-26 10:18:00,T012,SPT120018W,202301000127867
2023-09-26 10:19:00,T012,SPT120018W,202301000127868
2023-09-26 10:20:00,T013,SPT120018W,202302000080017
2023-09-26 10:20:00,T012,SPT120018W,202301000127869
2023-09-26 10:21:00,T013,SPT120018W,202302000080018
2023-09-26 10:21:00,T014,ORIONT-40,202302000079885
2023-09-26 10:22:00,T012,SPT120018W,202301000127870
2023-09-26 10:23:00,T013,SPT120018W,202302000080019
2023-09-26 10:23:00,T012,SPT120018W,202301000127871
2023-09-26 10:24:00,T013,SPT120018W,202302000080019
2023-09-26 10:25:00,T012,SPT120018W,202301000127872
2023-09-26 10:25:00,T013,SPT120018W,202302000080020
2023-09-26 10:26:00,T012,SPT120018W,202301000127873
2023-09-26 10:27:00,T012,SPT120018W,202301000127874
2023-09-26 10:27:00,T013,SPT120018W,202302000080021
2023-09-26 10:27:00,T014,ORIONT-40,202302000079885
2023-09-26 10:28:00,T012,SPT120018W,202301000127875
2023-09-26 10:30:00,T012,SPT120018W,202301000127876
2023-09-26 10:30:00,T013,SPT120018W,202302000080022
2023-09-26 10:30:00,T014,ORIONT-40,202302000079885
2023-09-26 10:38:00,T014,ORIONT-40,202302000079885
2023-09-26 10:42:00,T014,ORIONT-40,202302000079885
2023-09-26 10:44:00,T014,ORIONT-40,202302000079885
2023-09-26 10:47:00,T012,SPT120018W,202301000127877
2023-09-26 10:47:00,T014,ORIONT-40,202302000079885
2023-09-26 10:47:00,T013,SPT120018W,202302000080020
2023-09-26 10:48:00,T014,ORIONT-40,202302000079885
