,ts,gabarit
163,2023-09-28 09:00:44,0
162,2023-09-28 09:10:16,0
161,2023-09-28 09:10:26,14
160,2023-09-28 09:10:31,0
159,2023-09-28 09:13:02,23
158,2023-09-28 09:13:07,0
157,2023-09-28 09:13:52,17
156,2023-09-28 09:14:00,0
155,2023-09-28 09:16:14,21
154,2023-09-28 09:16:31,0
153,2023-09-28 09:17:43,6
152,2023-09-28 09:17:48,0
151,2023-09-28 09:17:52,6
150,2023-09-28 09:18:27,0
149,2023-09-28 09:20:33,19
148,2023-09-28 09:20:55,19
147,2023-09-28 09:21:00,0
146,2023-09-28 09:23:32,4
145,2023-09-28 09:23:37,0
144,2023-09-28 09:25:44,9
143,2023-09-28 09:25:49,0
142,2023-09-28 09:27:16,3
141,2023-09-28 09:27:41,3
140,2023-09-28 09:27:45,0
139,2023-09-28 09:28:57,8
138,2023-09-28 09:29:05,0
137,2023-09-28 09:30:15,23
136,2023-09-28 09:30:20,0
135,2023-09-28 09:31:34,15
134,2023-09-28 09:31:39,0
133,2023-09-28 09:32:59,16
132,2023-09-28 09:33:26,0
131,2023-09-28 09:35:38,6
130,2023-09-28 09:35:43,0
129,2023-09-28 09:37:03,0
128,2023-09-28 09:38:36,24
127,2023-09-28 09:38:41,0
126,2023-09-28 09:41:12,9
125,2023-09-28 09:43:51,0
124,2023-09-28 09:45:18,0
123,2023-09-28 09:46:44,0
122,2023-09-28 09:48:29,16
121,2023-09-28 09:48:34,0
120,2023-09-28 09:49:18,13
119,2023-09-28 09:49:32,0
118,2023-09-28 09:51:09,21
117,2023-09-28 09:51:15,0
116,2023-09-28 09:53:05,6
115,2023-09-28 09:53:50,0
114,2023-09-28 09:54:42,10
113,2023-09-28 09:54:46,0
112,2023-09-28 09:56:10,20
111,2023-09-28 09:56:10,0
110,2023-09-28 09:57:34,9
109,2023-09-28 09:57:58,0
108,2023-09-28 10:00:04,3
107,2023-09-28 10:00:09,0
106,2023-09-28 10:01:36,0
105,2023-09-28 10:02:51,14
104,2023-09-28 10:02:55,0
103,2023-09-28 10:04:14,15
102,2023-09-28 10:04:25,0
101,2023-09-28 10:05:46,16
100,2023-09-28 10:05:50,16
99,2023-09-28 10:05:55,0
98,2023-09-28 10:06:54,17
97,2023-09-28 10:07:33,17
96,2023-09-28 10:07:33,0
95,2023-09-28 10:08:04,19
94,2023-09-28 10:08:09,0
93,2023-09-28 10:08:24,19
92,2023-09-28 10:08:31,0
91,2023-09-28 10:09:38,21
90,2023-09-28 10:09:43,0
89,2023-09-28 10:12:07,6
88,2023-09-28 10:12:29,0
87,2023-09-28 10:14:31,3
86,2023-09-28 10:14:36,0
85,2023-09-28 10:15:39,5
84,2023-09-28 10:15:51,0
83,2023-09-28 10:17:20,22
82,2023-09-28 10:17:25,0
81,2023-09-28 10:18:23,14
80,2023-09-28 10:18:49,0
79,2023-09-28 10:19:30,8
78,2023-09-28 10:19:35,0
77,2023-09-28 10:20:50,0
76,2023-09-28 10:21:54,17
75,2023-09-28 10:22:00,0
74,2023-09-28 10:23:46,0
73,2023-09-28 10:24:33,21
72,2023-09-28 10:24:38,0
71,2023-09-28 10:28:37,3
70,2023-09-28 10:29:39,0
69,2023-09-28 10:29:40,9
68,2023-09-28 10:29:45,0
67,2023-09-28 10:48:07,22
66,2023-09-28 10:48:12,0
65,2023-09-28 10:50:25,7
64,2023-09-28 10:50:30,0
63,2023-09-28 10:51:59,15
62,2023-09-28 10:52:10,0
61,2023-09-28 10:53:29,23
60,2023-09-28 10:53:34,0
59,2023-09-28 10:55:00,16
58,2023-09-28 10:55:09,0
57,2023-09-28 10:56:08,21
56,2023-09-28 10:56:14,0
55,2023-09-28 10:57:01,19
54,2023-09-28 10:57:20,0
53,2023-09-28 10:58:38,6
52,2023-09-28 10:58:39,0
51,2023-09-28 11:00:11,11
50,2023-09-28 11:00:17,0
49,2023-09-28 11:01:36,10
48,2023-09-28 11:01:41,0
47,2023-09-28 11:02:55,3
46,2023-09-28 11:03:49,0
45,2023-09-28 11:03:58,22
44,2023-09-28 11:04:03,0
43,2023-09-28 11:05:09,7
42,2023-09-28 11:05:15,0
41,2023-09-28 11:07:33,0
40,2023-09-28 11:08:07,14
39,2023-09-28 11:08:15,0
38,2023-09-28 11:09:46,8
37,2023-09-28 11:10:13,0
36,2023-09-28 11:11:01,23
35,2023-09-28 11:13:29,0
34,2023-09-28 11:13:39,17
33,2023-09-28 11:13:47,0
32,2023-09-28 11:15:30,19
31,2023-09-28 11:15:35,0
30,2023-09-28 12:46:32,10
29,2023-09-28 12:46:37,0
28,2023-09-28 12:47:31,22
27,2023-09-28 12:49:21,0
26,2023-09-28 12:49:36,3
25,2023-09-28 12:49:41,0
24,2023-09-28 12:50:53,17
23,2023-09-28 12:52:28,0
22,2023-09-28 12:53:03,19
21,2023-09-28 12:53:07,0
20,2023-09-28 12:54:07,21
19,2023-09-28 12:54:28,0
18,2023-09-28 12:55:13,15
17,2023-09-28 12:55:18,0
16,2023-09-28 12:56:40,16
15,2023-09-28 12:57:49,0
14,2023-09-28 12:58:28,6
13,2023-09-28 12:58:31,6
12,2023-09-28 12:58:32,6
11,2023-09-28 12:58:38,0
10,2023-09-28 14:01:50,0
9,2023-09-28 14:03:31,10
8,2023-09-28 14:05:08,0
7,2023-09-28 14:07:58,20
6,2023-09-28 14:12:15,0
5,2023-09-28 14:13:09,11
4,2023-09-28 14:17:36,0
3,2023-09-28 14:18:36,14
2,2023-09-28 14:19:53,0
1,2023-09-28 14:22:38,9
0,2023-09-28 14:23:14,0
