Stamp;Agent;Model;Nquadro
25/09/2023 09:06:56;T012;SPT120018W;202301000127537
25/09/2023 09:08:02;T012;SPT120018W;202301000127536
25/09/2023 09:16:27;T012;SPT120018W;202301000127538
25/09/2023 09:17:54;T012;SPT120018W;202301000127540
25/09/2023 09:19:55;T012;SPT120018W;202301000127539
25/09/2023 09:21:47;T012;SPT120018W;202301000127539
25/09/2023 09:25:03;T012;SPT120018W;202301000127541
25/09/2023 09:25:41;T012;SPT120018W;202301000127541
25/09/2023 09:26:23;T012;SPT120018W;202301000127542
25/09/2023 09:27:11;T012;SPT120018W;202301000127543
25/09/2023 09:31:35;T012;SPT120018W;202301000127544
25/09/2023 09:32:24;T012;SPT120018W;202301000127545
25/09/2023 09:33:00;T012;SPT120018W;202301000127545
25/09/2023 09:33:50;T012;SPT120018W;202301000127546
25/09/2023 09:35:05;T012;SPT120018W;202301000127547
25/09/2023 09:36:07;T012;SPT120018W;202301000127548
25/09/2023 09:37:28;T012;SPT120018W;202301000127549
25/09/2023 09:39:48;T012;SPT120018W;202301000127550
25/09/2023 09:40:26;T014;HAMLET-49;202302000079872
25/09/2023 09:41:10;T014;HAMLET-49;202302000079872
25/09/2023 09:41:56;T014;HAMLET-49;202302000079872
25/09/2023 09:42:30;T012;SPT120018W;202301000127551
25/09/2023 09:42:56;T014;HAMLET-49;202302000079872
25/09/2023 09:43:57;T012;SPT120018W;202301000127552
25/09/2023 09:45:41;T012;SPT120018W;202301000127553
25/09/2023 09:47:43;T012;SPT120018W;202301000127554
25/09/2023 09:48:41;T014;HAMLET-49;202302000079872
25/09/2023 09:49:28;T012;SPT120018W;202301000127555
25/09/2023 09:51:06;T012;SPT120018W;202301000127556
25/09/2023 09:51:44;T014;HAMLET-49;202302000079900
25/09/2023 09:52:29;T012;SPT120018W;202301000127556
25/09/2023 09:52:37;T014;HAMLET-49;202302000079900
25/09/2023 09:53:13;T014;HAMLET-49;
25/09/2023 09:53:23;T012;SPT120018W;202301000127557
25/09/2023 09:54:40;T012;SPT120018W;202301000127558
25/09/2023 09:54:58;T014;HAMLET-49;202302000079900
25/09/2023 09:55:57;T012;SPT120018W;202301000127559
25/09/2023 09:56:42;T014;HAMLET-49;202302000079900
25/09/2023 09:58:28;T012;SPT120018W;202301000127560
25/09/2023 09:59:25;T014;HAMLET-49;202302000079901
25/09/2023 10:00:47;T012;SPT120018W;202301000127561
25/09/2023 10:01:54;T014;HAMLET-49;202302000079902
25/09/2023 10:01:55;T012;SPT120018W;202301000127562
25/09/2023 10:03:20;T012;SPT120018W;202301000127562
25/09/2023 10:04:11;T012;SPT120018W;202301000127563
25/09/2023 10:04:43;T014;HAMLET-49;202302000079903
25/09/2023 10:05:06;T012;SPT120018W;202301000127564
25/09/2023 10:06:15;T012;SPT120018W;202301000127565
25/09/2023 10:07:12;T014;HAMLET-49;202302000079904
25/09/2023 10:08:15;T012;SPT120018W;202301000127566
25/09/2023 10:09:28;T012;SPT120018W;202301000127567
25/09/2023 10:11:21;T012;SPT120018W;202301000127568
25/09/2023 10:11:30;T014;HAMLET-49;202302000079905
25/09/2023 10:12:11;T014;HAMLET-49;202302000079905
25/09/2023 10:12:25;T012;SPT120018W;202301000127569
25/09/2023 10:13:57;T014;HAMLET-49;202302000079906
25/09/2023 10:14:08;T012;SPT120018W;202301000127570
25/09/2023 10:14:43;T014;HAMLET-49;202302000079906
25/09/2023 10:15:10;T012;SPT120018W;202301000127571
25/09/2023 10:16:23;T014;HAMLET-49;202302000079907
25/09/2023 10:16:45;T012;SPT120018W;202301000127572
25/09/2023 10:17:03;T014;HAMLET-49;202302000079907
25/09/2023 10:18:00;T014;HAMLET-49;202302000079907
25/09/2023 10:18:21;T012;SPT120018W;202301000127573
25/09/2023 10:19:53;T014;HAMLET-49;202302000079908
25/09/2023 10:20:01;T012;SPT120018W;202301000127574
25/09/2023 10:22:09;T014;HAMLET-49;202302000079909
25/09/2023 10:22:21;T012;SPT120018W;202301000127575
25/09/2023 10:23:56;T014;HAMLET-49;202302000079910
25/09/2023 10:24:07;T012;SPT120018W;202301000127576
25/09/2023 10:24:39;T014;HAMLET-49;202302000079910
25/09/2023 10:26:17;T014;HAMLET-49;202302000079911
25/09/2023 10:27:16;T012;SPT120018W;202301000127577
25/09/2023 10:28:19;T012;SPT120018W;202301000127577
25/09/2023 10:28:26;T014;HAMLET-49;202302000079912
25/09/2023 10:29:21;T012;SPT120018W;202301000127578
25/09/2023 10:30:13;T012;SPT120018W;202301000127579
25/09/2023 10:30:38;T014;HAMLET-49;202302000079925
25/09/2023 10:31:19;T014;HAMLET-49;202302000079925
25/09/2023 10:47:00;T012;SPT120018W;202301000127580
25/09/2023 10:47:28;T014;HAMLET-49;202302000079926
25/09/2023 10:47:44;T012;SPT120018W;202301000127580
25/09/2023 10:48:07;T014;HAMLET-49;202302000079926
25/09/2023 10:49:04;T012;SPT120018W;202301000127581
25/09/2023 10:50:09;T012;SPT120018W;202301000127582
25/09/2023 10:50:21;T014;HAMLET-49;202302000079927
25/09/2023 10:51:48;T012;SPT120018W;202301000127583
25/09/2023 10:52:37;T014;HAMLET-49;202302000079927
25/09/2023 10:53:27;T012;SPT120018W;202301000127584
25/09/2023 10:54:36;T014;HAMLET-49;202302000079928
25/09/2023 10:57:01;T014;HAMLET-49;202302000079928
25/09/2023 10:57:03;T012;SPT120018W;202301000127584
25/09/2023 10:57:44;T014;HAMLET-49;202302000079928
25/09/2023 10:58:01;T012;SPT120018W;202301000127585
25/09/2023 10:58:51;T012;SPT120018W;202301000127586
25/09/2023 10:59:42;T014;HAMLET-49;202302000079873
25/09/2023 11:00:17;T012;SPT120018W;202301000127587
25/09/2023 11:01:44;T014;HAMLET-49;202302000079874
25/09/2023 11:01:55;T012;SPT120018W;202301000127588
25/09/2023 11:03:08;T014;HAMLET-49;202302000079874
25/09/2023 11:03:26;T012;SPT120018W;202301000127589
25/09/2023 11:04:44;T014;HAMLET-49;202302000079928
