ts,distance,state
2023-09-16 09:00:54,318,1
2023-09-16 09:01:54,318,0
2023-09-16 09:02:55,319,0
2023-09-16 09:03:56,319,0
2023-09-16 09:04:56,320,0
2023-09-16 09:05:57,318,0
2023-09-16 09:06:58,319,0
2023-09-16 09:07:58,318,0
2023-09-16 09:08:59,319,0
2023-09-16 09:10:00,321,0
2023-09-16 09:11:00,318,0
2023-09-16 09:12:01,320,0
2023-09-16 09:13:02,317,0
2023-09-16 09:14:03,317,0
2023-09-16 09:15:03,320,0
2023-09-16 09:16:04,313,0
2023-09-16 09:17:05,318,0
2023-09-16 09:18:05,318,0
2023-09-16 09:19:06,320,0
2023-09-16 09:20:07,318,0
2023-09-16 09:21:07,320,0
2023-09-16 09:22:08,319,0
2023-09-16 09:23:09,318,0
2023-09-16 09:24:09,319,0
2023-09-16 09:25:10,318,0
2023-09-16 09:26:11,318,0
2023-09-16 09:27:12,318,0
2023-09-16 09:28:12,318,0
2023-09-16 09:29:13,319,0
2023-09-16 09:30:14,317,0
2023-09-16 09:31:14,318,0
2023-09-16 09:32:15,320,0
2023-09-16 09:33:16,319,0
2023-09-16 09:34:16,319,0
2023-09-16 09:35:17,318,0
2023-09-16 09:36:18,318,0
2023-09-16 09:37:18,318,0
2023-09-16 09:38:19,318,0
2023-09-16 09:39:20,318,0
2023-09-16 09:40:21,318,0
2023-09-16 09:41:21,318,0
2023-09-16 09:42:22,318,0
2023-09-16 09:43:23,318,0
2023-09-16 09:44:23,317,0
2023-09-16 09:45:24,316,0
2023-09-16 09:46:25,319,0
2023-09-16 09:47:25,319,0
2023-09-16 09:48:26,318,0
2023-09-16 09:49:27,310,0
2023-09-16 09:50:27,311,0
2023-09-16 09:51:28,322,0
2023-09-16 09:52:29,320,0
2023-09-16 09:53:29,316,0
2023-09-16 09:54:30,317,0
2023-09-16 09:55:31,319,0
2023-09-16 09:56:31,316,0
2023-09-16 09:57:32,319,0
2023-09-16 09:58:33,316,0
2023-09-16 09:59:34,319,0
2023-09-16 10:00:34,318,0
2023-09-16 10:01:35,317,0
2023-09-16 10:02:36,318,0
2023-09-16 10:03:36,318,0
2023-09-16 10:04:37,318,0
2023-09-16 10:05:38,317,0
2023-09-16 10:06:38,320,0
2023-09-16 10:07:39,317,0
2023-09-16 10:08:40,317,0
2023-09-16 10:09:40,318,0
2023-09-16 10:10:41,319,0
2023-09-16 10:11:42,310,0
2023-09-16 10:12:42,316,0
2023-09-16 10:13:43,318,0
2023-09-16 10:14:44,318,0
2023-09-16 10:15:45,320,0
2023-09-16 10:16:45,319,0
2023-09-16 10:17:46,318,0
2023-09-16 10:18:47,319,0
2023-09-16 10:19:47,318,0
2023-09-16 10:20:48,319,0
2023-09-16 10:21:49,318,0
2023-09-16 10:22:49,318,0
2023-09-16 10:23:50,318,0
2023-09-16 10:24:51,319,0
2023-09-16 10:25:51,316,0
2023-09-16 10:26:52,316,0
2023-09-16 10:27:53,318,0
2023-09-16 10:28:53,318,0
2023-09-16 10:29:54,317,0
2023-09-16 10:30:55,316,0
2023-09-16 10:31:56,319,0
2023-09-16 10:32:56,311,0
2023-09-16 10:33:57,319,0
2023-09-16 10:34:58,319,0
2023-09-16 10:35:58,319,0
2023-09-16 10:36:59,317,0
2023-09-16 10:38:00,318,0
2023-09-16 10:39:00,319,0
2023-09-16 10:40:01,319,0
2023-09-16 10:41:02,319,0
2023-09-16 10:42:02,316,0
2023-09-16 10:43:03,317,0
2023-09-16 10:44:04,317,0
2023-09-16 10:45:04,318,0
2023-09-16 10:46:05,317,0
2023-09-16 10:47:06,319,0
2023-09-16 10:48:06,312,0
2023-09-16 10:49:07,318,0
2023-09-16 10:50:08,319,0
2023-09-16 10:51:08,318,0
2023-09-16 10:52:09,317,0
2023-09-16 10:53:10,318,0
2023-09-16 10:54:10,318,0
2023-09-16 10:55:11,318,0
2023-09-16 10:56:12,319,0
2023-09-16 10:57:12,319,0
2023-09-16 10:58:13,319,0
2023-09-16 10:59:14,318,0
2023-09-16 11:00:14,318,0
2023-09-16 11:01:15,318,0
2023-09-16 11:02:16,320,0
2023-09-16 11:03:16,319,0
2023-09-16 11:04:17,320,0
2023-09-16 11:05:18,319,0
2023-09-16 11:06:19,319,0
2023-09-16 11:07:19,318,0
2023-09-16 11:08:20,319,0
2023-09-16 11:09:21,318,0
2023-09-16 11:10:21,318,0
2023-09-16 11:11:22,317,0
2023-09-16 11:12:23,319,0
2023-09-16 11:13:23,319,0
2023-09-16 11:14:24,319,0
2023-09-16 11:15:25,310,0
2023-09-16 11:16:25,319,0
2023-09-16 11:17:26,315,0
2023-09-16 11:18:27,318,0
2023-09-16 11:19:27,318,0
2023-09-16 11:20:28,319,0
