ts,task,empid,sec
2023-08-03 14:48:34,0,0,36088
2023-08-03 14:48:35,1,0,1
2023-08-03 14:48:36,1,0,1
2023-08-03 14:48:37,1,0,1
2023-08-03 14:48:38,1,0,1
2023-08-03 14:48:39,1,0,1
2023-08-03 14:48:40,1,0,1
2023-08-03 14:48:41,1,0,1
2023-08-03 14:48:44,1,0,3
2023-08-03 14:48:46,1,0,1
2023-08-03 14:48:46,1,0,1
2023-08-03 14:48:48,1,0,1
2023-08-03 14:48:49,1,0,1
2023-08-03 14:48:49,1,0,1
2023-08-03 14:48:54,1,0,4
2023-08-03 14:48:55,1,0,1
2023-08-03 14:48:56,1,0,1
2023-08-03 14:48:57,1,0,1
2023-08-03 14:48:58,1,0,1
2023-08-03 14:48:59,1,0,1
2023-08-03 14:49:00,1,0,1
2023-08-03 14:49:01,1,0,1
2023-08-03 14:49:02,1,0,1
2023-08-03 14:49:05,1,0,3
2023-08-03 14:49:08,1,0,3
2023-08-03 14:49:11,1,0,3
2023-08-03 14:49:15,1,0,4
2023-08-03 14:49:19,0,0,4
2023-08-03 14:49:24,1,0,4
2023-08-03 14:49:27,1,0,3
2023-08-03 14:49:32,1,0,5
2023-08-03 14:49:36,1,0,4
2023-08-03 14:49:40,1,0,4
2023-08-03 14:49:44,1,0,4
2023-08-03 14:49:49,1,0,5
2023-08-03 14:49:53,1,0,3
