,ts,task,empid,sec
132,2023-08-24 12:24:46,0,0,0
131,2023-08-24 12:25:47,0,0,0
130,2023-08-24 12:26:36,0,0,0
129,2023-08-24 12:27:57,0,0,0
128,2023-08-24 12:28:07,0,0,0
127,2023-08-24 13:49:17,0,0,0
126,2023-08-24 13:50:34,0,0,0
125,2023-08-24 13:51:10,0,0,0
124,2023-08-24 13:51:32,0,0,0
123,2023-08-24 13:51:38,0,15,12
122,2023-08-24 13:51:39,4,15,0
121,2023-08-24 13:51:45,4,15,5
120,2023-08-24 13:52:16,4,15,31
119,2023-08-24 13:53:19,4,15,62
118,2023-08-24 14:15:40,0,0,0
117,2023-08-24 14:16:57,0,0,0
116,2023-08-24 14:20:34,0,0,0
115,2023-08-24 14:45:02,0,0,0
114,2023-08-24 14:45:52,0,0,0
113,2023-08-24 14:48:55,0,0,0
112,2023-08-24 15:12:39,0,0,0
111,2023-08-24 15:12:51,0,0,0
110,2023-08-24 15:13:18,0,0,0
109,2023-08-24 15:14:19,0,0,0
108,2023-08-24 15:14:43,0,0,0
107,2023-08-24 15:25:26,0,0,0
106,2023-08-24 15:25:41,0,15,30
105,2023-08-24 15:25:42,4,15,0
104,2023-08-24 15:27:19,0,15,0
103,2023-08-24 15:30:56,0,0,0
102,2023-08-24 15:31:14,0,0,0
101,2023-08-24 15:32:35,0,0,0
100,2023-08-24 15:33:08,0,0,0
99,2023-08-24 15:38:04,0,0,0
98,2023-08-24 15:41:37,0,0,0
97,2023-08-24 15:41:58,0,0,0
96,2023-08-24 15:42:34,0,0,0
95,2023-08-24 15:43:01,0,0,0
94,2023-08-24 15:43:08,0,15,13
93,2023-08-24 15:43:09,7,15,0
92,2023-08-24 15:43:11,7,15,2
91,2023-08-24 15:43:13,0,15,0
90,2023-08-24 15:44:48,0,0,0
89,2023-08-24 15:45:21,0,0,0
88,2023-08-24 15:45:28,0,15,15
87,2023-08-24 15:45:29,7,15,0
86,2023-08-24 15:47:34,7,15,121
85,2023-08-24 15:48:24,0,15,0
84,2023-08-24 16:01:06,0,0,0
83,2023-08-24 16:01:55,0,15,15
82,2023-08-24 16:01:58,7,15,0
81,2023-08-24 16:02:08,7,15,2
80,2023-08-24 16:02:35,0,0,0
79,2023-08-24 16:05:23,0,0,0
78,2023-08-24 16:06:00,0,0,0
77,2023-08-24 16:06:51,0,0,0
76,2023-08-24 16:07:47,0,0,0
75,2023-08-24 16:08:16,0,0,0
74,2023-08-24 16:08:37,0,15,42
73,2023-08-24 16:08:38,4,15,0
72,2023-08-24 16:08:42,4,15,3
71,2023-08-24 16:08:45,4,15,2
70,2023-08-24 16:08:50,0,15,0
69,2023-08-24 16:12:42,0,0,0
68,2023-08-24 16:15:49,0,0,0
67,2023-08-24 16:18:41,0,15,210
66,2023-08-24 16:18:42,4,15,0
65,2023-08-24 16:18:51,4,15,8
64,2023-08-24 16:19:12,4,15,21
63,2023-08-24 16:19:17,0,15,0
62,2023-08-24 16:23:44,0,0,0
61,2023-08-24 16:26:26,0,15,289
60,2023-08-24 16:26:27,4,15,0
59,2023-08-24 16:30:46,4,15,255
58,2023-08-24 16:32:37,4,15,110
57,2023-08-24 16:32:53,0,15,0
56,2023-08-24 16:36:01,0,0,0
55,2023-08-24 16:36:13,0,15,15
54,2023-08-24 16:36:14,4,15,0
53,2023-08-24 16:36:21,0,15,0
52,2023-08-24 16:36:24,0,15,14
51,2023-08-24 16:36:25,4,15,0
50,2023-08-24 16:36:27,4,15,2
49,2023-08-24 16:57:03,0,0,0
48,2023-08-24 16:58:25,0,15,146
47,2023-08-24 16:58:26,4,15,0
46,2023-08-24 16:58:30,4,15,3
45,2023-08-24 16:58:31,4,15,1
44,2023-08-24 16:58:32,4,15,1
43,2023-08-24 16:58:33,4,15,1
42,2023-08-24 16:58:35,4,15,1
41,2023-08-24 16:58:36,0,15,0
40,2023-08-24 17:00:10,0,15,116
39,2023-08-24 17:00:11,4,15,0
38,2023-08-24 17:00:17,4,15,5
37,2023-08-24 17:00:22,4,15,4
36,2023-08-24 17:00:31,0,15,0
35,2023-08-24 17:02:36,0,15,133
34,2023-08-24 17:02:37,4,15,0
33,2023-08-24 17:02:43,4,15,4
32,2023-08-24 17:02:48,4,15,5
31,2023-08-24 17:02:52,0,15,0
30,2023-08-24 17:03:27,0,15,51
29,2023-08-24 17:03:28,4,15,0
28,2023-08-24 17:03:32,4,15,3
27,2023-08-24 17:03:36,4,15,4
26,2023-08-24 17:03:39,0,15,0
25,2023-08-24 17:03:48,0,15,10
24,2023-08-24 17:03:49,1,15,0
23,2023-08-24 17:03:53,1,15,3
22,2023-08-24 17:03:56,0,15,0
21,2023-08-24 17:04:42,0,15,51
20,2023-08-24 17:04:43,4,15,0
19,2023-08-24 17:04:47,4,15,3
18,2023-08-24 17:04:53,4,15,6
17,2023-08-24 17:04:55,4,15,2
16,2023-08-24 17:04:59,4,15,3
15,2023-08-24 17:05:01,4,15,2
14,2023-08-24 17:05:04,0,15,0
13,2023-08-24 17:05:40,0,15,55
12,2023-08-24 17:05:41,4,15,0
11,2023-08-24 17:05:47,4,15,4
10,2023-08-24 17:05:53,4,15,6
9,2023-08-24 17:05:56,4,15,3
8,2023-08-24 17:05:58,4,15,2
7,2023-08-24 17:06:00,4,15,1
6,2023-08-24 17:06:02,4,15,2
5,2023-08-24 17:06:06,0,15,0
4,2023-08-24 17:06:16,0,15,11
3,2023-08-24 17:06:17,1,15,0
2,2023-08-24 17:06:22,1,15,4
1,2023-08-24 17:06:25,1,15,2
0,2023-08-24 17:06:26,0,15,0
