,ts,task,empid,sec
183,2023-07-26 10:28:12,3,,7
182,2023-07-26 10:28:30,3,,17
181,2023-07-26 10:28:49,3,,18
180,2023-07-26 10:29:28,3,,39
179,2023-07-26 10:29:35,0,,
178,2023-07-26 10:32:03,0,,36
177,2023-07-26 10:46:20,1,13,3
176,2023-07-26 10:52:10,7,13,120
175,2023-07-26 10:52:17,1,13,6
174,2023-07-26 10:54:07,1,12,5
173,2023-07-26 10:54:10,1,12,4
172,2023-07-26 10:59:59,1,12,4
171,2023-07-26 11:00:03,1,12,3
170,2023-07-26 11:01:48,1,12,104
169,2023-07-26 11:01:56,7,,
168,2023-07-26 11:02:00,7,12,8
167,2023-07-26 11:02:04,2,12,3
166,2023-07-26 11:02:09,2,12,5
165,2023-07-26 11:03:09,2,12,60
164,2023-07-26 11:03:14,7,,
163,2023-07-26 11:04:25,7,12,134
162,2023-07-26 11:04:31,7,,
161,2023-07-26 11:23:10,4,13,77
160,2023-07-26 11:23:13,4,13,3
159,2023-07-26 11:24:49,4,13,93
158,2023-07-26 11:27:05,4,13,132
157,2023-07-26 11:27:08,4,13,3
156,2023-07-26 11:27:13,6,,
155,2023-07-26 11:28:13,7,13,104
154,2023-07-26 11:30:13,3,12,5
153,2023-07-26 11:30:17,3,12,4
152,2023-07-26 11:30:28,3,12,10
151,2023-07-26 11:30:40,3,12,12
150,2023-07-26 11:30:43,6,,
149,2023-07-26 11:40:30,3,14,29
148,2023-07-26 11:45:16,0,12,187
147,2023-07-26 11:45:22,1,12,5
146,2023-07-26 11:45:28,1,12,5
145,2023-07-26 11:45:32,1,12,4
144,2023-07-26 11:46:10,1,12,35
143,2023-07-26 11:46:17,0,,
142,2023-07-26 11:46:29,0,12,22
141,2023-07-26 11:46:32,4,12,3
140,2023-07-26 11:47:46,4,12,68
139,2023-07-26 11:47:59,4,12,12
138,2023-07-26 11:52:10,0,12,22
137,2023-07-26 11:52:20,3,12,9
136,2023-07-26 11:57:15,3,12,273
135,2023-07-26 11:59:40,3,12,134
134,2023-07-26 12:00:43,3,12,58
133,2023-07-26 12:06:18,3,12,308
132,2023-07-26 12:06:24,0,,
131,2023-07-26 12:07:31,0,12,126
130,2023-07-26 12:10:14,4,12,150
129,2023-07-26 12:11:00,4,12,43
128,2023-07-26 12:12:50,4,12,101
127,2023-07-26 12:14:15,0,13,64
126,2023-07-26 12:14:15,1,13,0
125,2023-07-26 12:16:46,1,13,146
124,2023-07-26 12:21:58,0,13,18
123,2023-07-26 12:21:58,4,13,0
122,2023-07-26 12:23:48,4,13,106
121,2023-07-26 12:23:50,0,,
120,2023-07-26 12:26:47,3,13,0
119,2023-07-26 12:27:36,3,13,47
118,2023-07-26 12:27:39,3,13,3
117,2023-07-26 12:27:44,3,13,4
116,2023-07-26 12:27:46,0,,
115,2023-07-26 12:27:51,0,13,9
114,2023-07-26 12:27:55,4,13,0
113,2023-07-26 12:27:55,4,13,4
112,2023-07-26 12:28:52,4,13,55
111,2023-07-26 12:35:06,0,13,49
110,2023-07-26 12:35:06,4,13,0
109,2023-07-26 12:35:16,4,13,9
108,2023-07-26 12:37:30,0,0,64
107,2023-07-26 12:37:30,5,0,0
106,2023-07-26 12:37:33,5,0,2
105,2023-07-26 12:37:41,5,0,8
104,2023-07-26 12:37:49,0,,
103,2023-07-26 12:37:57,0,0,15
102,2023-07-26 12:37:57,6,0,0
101,2023-07-26 12:38:00,6,0,2
100,2023-07-26 12:39:25,0,0,0
99,2023-07-26 12:39:53,0,0,0
98,2023-07-26 12:40:31,0,0,0
97,2023-07-26 12:40:47,0,0,0
96,2023-07-26 12:41:10,0,9,30
95,2023-07-26 12:41:10,4,9,0
94,2023-07-26 12:41:15,4,9,5
93,2023-07-26 12:41:17,0,,
92,2023-07-26 12:41:20,0,9,7
91,2023-07-26 12:41:21,1,9,0
90,2023-07-26 12:41:24,1,9,2
89,2023-07-26 12:41:27,1,9,4
88,2023-07-26 12:41:30,0,,
87,2023-07-26 12:41:45,0,14,27
86,2023-07-26 12:41:45,3,14,0
85,2023-07-26 12:41:49,3,14,3
84,2023-07-26 12:41:53,3,14,4
83,2023-07-26 12:45:35,0,0,0
82,2023-07-26 12:45:44,0,14,16
81,2023-07-26 12:45:44,3,14,0
80,2023-07-26 12:45:52,3,14,8
79,2023-07-26 12:45:58,3,14,5
78,2023-07-26 12:48:18,3,14,135
77,2023-07-26 12:50:14,0,0,0
76,2023-07-26 12:50:22,0,14,14
75,2023-07-26 12:50:22,3,14,0
74,2023-07-26 12:50:26,3,14,4
73,2023-07-26 12:51:29,3,14,61
72,2023-07-26 12:52:49,0,0,0
71,2023-07-26 12:56:40,1,14,0
70,2023-07-26 12:57:13,0,0,0
69,2023-07-26 12:57:29,0,14,27
68,2023-07-26 12:57:29,2,14,0
67,2023-07-26 12:57:45,2,14,16
66,2023-07-26 12:57:52,2,14,6
65,2023-07-26 12:57:55,2,14,3
64,2023-07-26 12:58:02,2,14,7
63,2023-07-26 12:58:08,2,14,6
62,2023-07-26 12:58:11,2,14,3
61,2023-07-26 12:58:13,0,,
60,2023-07-26 12:58:24,0,14,17
59,2023-07-26 12:58:24,1,14,0
58,2023-07-26 12:58:30,1,14,5
57,2023-07-26 12:58:36,1,14,6
56,2023-07-26 12:59:16,1,14,35
55,2023-07-26 12:59:16,0,,
54,2023-07-26 12:59:17,0,14,7
53,2023-07-26 12:59:17,3,14,0
52,2023-07-26 12:59:24,3,14,6
51,2023-07-26 12:59:49,3,14,25
50,2023-07-26 13:00:16,3,14,26
49,2023-07-26 13:01:01,3,14,43
48,2023-07-26 13:01:18,3,14,17
47,2023-07-26 13:02:40,3,14,80
46,2023-07-26 13:03:20,3,14,39
45,2023-07-26 13:03:20,0,,
44,2023-07-26 13:54:46,0,0,0
43,2023-07-26 13:55:12,0,0,44
42,2023-07-26 13:55:12,2,0,0
41,2023-07-26 13:55:12,2,0,1
40,2023-07-26 13:55:23,0,0,0
39,2023-07-26 15:05:57,0,0,0
38,2023-07-26 15:06:35,0,14,64
37,2023-07-26 15:06:35,2,14,0
36,2023-07-26 15:06:43,2,14,8
35,2023-07-26 15:06:55,2,14,11
34,2023-07-26 15:07:13,2,14,18
33,2023-07-26 15:07:22,0,,
32,2023-07-26 15:09:17,0,14,97
31,2023-07-26 15:09:17,2,14,0
30,2023-07-26 15:09:32,0,,
29,2023-07-26 15:09:35,0,14,5
28,2023-07-26 15:09:36,2,14,0
27,2023-07-26 15:11:55,2,14,135
26,2023-07-26 15:12:08,2,14,11
25,2023-07-26 15:12:08,0,,
24,2023-07-26 15:13:11,1,13,0
23,2023-07-26 15:13:13,1,13,2
22,2023-07-26 15:13:16,0,,
21,2023-07-26 15:13:43,0,13,50
20,2023-07-26 15:13:44,1,13,0
19,2023-07-26 15:13:46,1,13,2
